department,HOLLANDE,SARKOZY,LE PEN,MELENCHON,BAYROU,JOLY,DUPONT-AIGNAN,POUTOU,ARTHAUD,CHEMINADE,HOLLANDE_2,SARKOZY_2
Tarn-et-Garonne,27.63,25.14,22.1,11.19,8.28,1.97,1.76,1.21,0.48,0.25,51.25,48.75
Corrèze,42.97,21.59,13.31,10.55,6.93,1.38,1.65,1.01,0.42,0.18,64.86,35.14
Creuse,34.02,22.23,16.27,13.01,8.33,1.76,1.93,1.49,0.72,0.25,61.02,38.98
Haute-Vienne,35.9,19.83,16.44,14.36,7.89,1.8,1.67,1.21,0.66,0.24,63.99,36.01
Ain,22.75,30.41,20.71,9.61,10.16,2.26,2.24,1.03,0.56,0.27,42.78,57.22
Ardèche,25.98,23.76,20.04,14.07,9.15,2.8,1.94,1.37,0.63,0.26,53.45,46.55
Drôme,25.05,26.12,20.96,12.1,8.88,2.87,1.94,1.11,0.71,0.26,49.18,50.82
Isère,27.84,24.96,18.97,12.4,9.1,3.03,1.9,1.03,0.52,0.26,52.12,47.88
Loire,26.46,25.07,21.55,11.18,9.75,1.96,2.11,1.08,0.61,0.23,50.5,49.5
Rôhne,26.91,30.77,15.09,10.74,10.3,2.9,1.72,0.84,0.48,0.26,47.98,52.02
Savoie,23.64,28.61,18.92,11.47,9.89,3.42,2.11,1.19,0.5,0.27,47.07,52.93
Haute-Savoie,20.52,34.06,16.56,9.23,11.83,3.59,2.32,1.12,0.45,0.31,39.9,60.1
Allier,29.68,24.02,18.32,13.58,8.65,1.57,1.98,1.25,0.72,0.22,56.89,43.11
Cantal,30.84,28.61,15.12,8.98,11.16,1.56,1.66,1.24,0.6,0.24,51.8,48.2
Haute-Loire,26.36,24.42,20.4,11.17,11.17,2.1,2.08,1.33,0.74,0.22,51.38,48.62
Puy-de-Dôme,33.09,21.42,15.58,13.99,9.95,2.04,1.77,1.24,0.64,0.27,60.46,39.54
Aude,30.41,21.63,23.22,13.15,6.04,2.09,1.47,1.26,0.52,0.21,56.24,43.76
Gard,24.11,24.86,25.51,13.33,6.91,2.12,1.46,1.01,0.47,0.23,48.8,51.2
Hérault,26.69,25.31,22.28,13.27,6.86,2.52,1.4,1.03,0.4,0.23,51.31,48.69
Lozère,25.15,27.77,17.3,12.41,11.01,2.61,1.69,1.29,0.53,0.24,49.95,50.05
Pyrénées-Orientales,25.96,25.31,24.23,12.77,6.29,2.11,1.38,1.24,0.49,0.22,50.59,49.41
Alpes-de Haute-Provence,24.36,25.47,20.71,15.15,7.42,2.91,1.83,1.38,0.48,0.28,51.06,48.94
Haute Alpes,24.49,26.11,17.7,14.03,9.86,3.63,2.05,1.33,0.56,0.24,50.91,49.09
Alpes-Maritimes,19.21,37.19,23.5,8.49,6.69,2.15,1.59,0.69,0.27,0.21,35.77,64.23
Bouches-du-Rôhne,24.51,27.5,23.38,13.43,6.35,2.11,1.35,0.8,0.35,0.22,47.17,52.83
Var,19.65,34.83,24.83,9.08,6.66,1.89,1.63,0.87,0.35,0.21,37.36,62.64
Vaucluse,22.33,27.45,27.03,11.15,6.73,2.26,1.5,0.95,0.39,0.21,43.57,56.43
Corse-du-Sud,22.29,31.83,25.71,9.69,5.48,2.23,1.07,1.18,0.3,0.22,42.4,57.6
Haute-Corse,25.99,31.06,23.26,9.99,4.6,2.33,1.07,1.16,0.33,0.2,45.59,54.41
Gaudeloupe,57,23.4,5.16,5.38,4.73,1.47,0.85,0.79,0.92,0.3,71.94,28.06
Martinique,51.98,26.28,4.76,5.88,5.93,1.56,1.07,1.17,0.99,0.38,68.43,31.57
Guyane,42.61,27.19,10.48,7.89,6.23,2.25,1.11,1.28,0.56,0.4,62.05,37.95
Réunion,53.29,17.96,10.31,6.73,6.83,2.13,1,0.87,0.6,0.29,71.49,28.51
Sainte Pierre et Miquelon,33.75,18.55,15.81,15.17,7.37,1.63,2.43,3.91,0.87,0.49,65.31,34.69
Saint-Barthelemy et Saint-Martin,26.78,43.62,12.14,5.89,5.89,2.59,1.15,1.06,0.55,0.35,40.57,59.43
Mayotte,36.55,48.73,2.77,2.62,4.18,2.19,1.1,0.83,0.53,0.49,49.06,50.94
Wallis et Futuna,48.28,37.68,2.37,1.19,6.4,1.56,0.67,0.66,0.75,0.45,56.06,43.94
Polynesie Francaise,32.43,45.21,5.73,2.77,5.72,3.78,2.77,0.59,0.57,0.42,46.74,53.26
Nouvelle-Caledonie,24.91,49.63,11.66,3.28,5.13,2.62,0.93,0.98,0.54,0.31,36.97,63.03
Abroad votes,28.32,38.01,5.95,8.31,11.37,5.44,1.25,0.7,0.28,0.36,46.95,53.05
