"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
1000,793,32,32,0,0,0,0,27,0,148
1621,1263,147,147,0,0,0,54,32,8,117
1244,1008,12,12,0,0,0,17,20,13,174
4175,3482,113,87,0,15,0,59,39,109,373
1435,1071,45,33,12,0,0,35,30,0,254
1012,778,44,37,0,7,0,9,70,25,86
1336,1054,129,89,11,0,0,33,22,0,98
250,94,22,10,0,12,0,13,54,41,26
1472,1084,179,154,25,0,0,119,28,16,46
2709,1913,375,344,17,0,0,124,101,53,143
1577,1353,174,148,0,0,0,20,0,0,30
925,741,115,108,0,7,0,14,0,14,41
925,712,48,23,12,0,0,59,40,34,32
2048,1603,230,170,38,0,0,21,0,11,183
1656,1216,233,118,0,18,0,0,0,4,203
1634,1264,209,209,0,0,0,36,66,0,59
3138,2079,700,484,40,130,0,0,123,23,213
1109,936,86,36,8,0,0,17,17,16,37
4290,2858,620,414,59,60,0,69,344,78,321
1391,1157,175,151,13,0,0,0,48,0,11
1617,1366,142,142,0,0,0,7,39,15,48
1821,1464,144,136,8,0,0,24,86,8,95
1501,1175,153,144,0,9,0,28,29,25,91
1879,1546,271,271,0,0,0,7,0,10,45
2388,1804,254,233,0,0,0,135,0,32,163
1946,1511,180,166,0,0,0,89,7,15,144
4372,3876,173,98,51,24,0,0,0,13,310
1781,1424,115,105,0,0,0,43,65,47,87
3615,2717,539,502,0,0,0,0,135,13,211
2043,1511,285,270,0,0,0,0,115,37,95
2581,2289,143,89,41,0,0,12,0,38,99
3045,2181,296,205,71,13,0,0,63,65,440
2539,2123,237,154,13,0,0,0,107,50,22
2495,1823,330,132,15,12,0,50,106,39,147
1960,1749,108,50,8,0,0,17,27,9,50
2734,2403,125,66,0,33,0,58,57,20,71
1745,1502,135,99,7,0,0,0,22,12,74
1958,1676,157,103,8,10,0,0,25,17,83
1554,1285,167,159,0,8,0,8,0,6,88
2246,1691,331,189,74,0,0,11,118,30,65
2577,2004,292,235,18,0,0,0,94,0,187
2309,1745,287,161,22,0,0,26,126,37,88
1984,1525,210,155,28,11,0,23,84,0,142
2969,2429,323,295,0,0,0,18,15,0,184
1414,1124,203,82,72,49,0,4,47,0,36
2633,2395,117,103,14,0,0,41,22,32,26
1432,1277,57,42,15,0,0,10,23,34,31
2808,2617,74,39,22,13,0,0,0,0,117
1511,1249,89,53,0,36,0,0,23,11,139
1718,1581,76,46,30,0,0,0,33,6,22
1795,1565,106,45,24,37,0,0,9,35,80
2180,1874,89,30,24,35,0,8,66,22,121
2410,1804,220,142,24,16,0,20,300,0,66
2529,2055,153,58,33,62,0,0,72,48,201
3998,3308,341,276,32,33,0,21,5,62,261
2456,2208,15,15,0,0,0,0,20,22,191
2460,2185,111,62,32,17,0,11,127,22,4
1879,1498,241,144,0,23,0,6,75,40,19
2068,1784,65,65,0,0,0,43,0,91,85
2299,2188,18,0,0,0,0,7,6,0,80
2876,2470,115,37,11,0,0,74,36,60,121
2799,2373,149,35,15,0,0,16,55,51,155
2328,2047,112,55,23,26,0,99,4,0,66
2768,2493,190,113,30,35,0,0,16,0,69
3811,3544,74,9,13,0,0,22,22,26,123
2335,1606,417,417,0,0,0,34,186,69,23
965,860,13,13,0,0,0,19,43,0,30
1633,1267,51,11,40,0,0,10,55,27,223
837,182,228,156,0,8,0,35,315,0,77
2,1,0,0,0,0,0,0,1,0,0
798,663,10,10,0,0,0,12,0,27,86
3845,3568,28,28,0,0,0,0,21,0,228
4405,4106,0,0,0,0,0,16,132,40,111
3651,3265,65,65,0,0,0,0,93,0,228
2184,1898,63,51,0,12,0,61,91,0,71
969,818,23,23,0,0,0,24,39,0,65
1891,1740,23,23,0,0,0,0,17,0,111
3761,3340,15,15,0,0,0,18,93,69,226
2031,1396,6,6,0,0,0,77,358,22,172
2520,2092,41,41,0,0,0,87,81,0,219
2360,2146,8,8,0,0,0,6,47,34,119
2758,2360,5,5,0,0,0,0,122,5,266
752,636,2,1,0,1,0,6,62,4,42
1394,1206,0,0,0,0,0,0,133,0,55
791,696,0,0,0,0,0,0,52,0,43
1100,927,30,30,0,0,0,0,16,86,41
3011,2594,33,33,0,0,0,20,188,61,115
1063,889,29,29,0,0,0,10,92,0,43
972,765,0,0,0,0,0,15,29,0,163
1248,1148,0,0,0,0,0,0,7,29,64
525,412,0,0,0,0,0,0,81,0,32
1156,1027,16,16,0,0,0,6,56,20,31
1864,1671,33,33,0,0,0,20,57,2,81
3097,2627,0,0,0,0,0,16,263,42,149
1111,1041,1,1,0,0,0,0,35,2,32
2272,2056,0,0,0,0,0,24,90,0,102
2213,2023,5,5,0,0,0,8,68,28,81
2617,2242,11,11,0,0,0,14,211,16,123
1050,955,0,0,0,0,0,6,79,0,10
2509,2327,16,16,0,0,0,0,65,28,73
1772,1637,0,0,0,0,0,17,27,0,91
2456,2330,26,26,0,0,0,1,0,35,64
2709,2587,3,3,0,0,0,0,58,0,61
3770,3496,30,30,0,0,0,0,149,13,82
1742,1590,0,0,0,0,0,3,101,8,40
825,718,0,0,0,0,0,0,23,27,57
1055,889,11,11,0,0,0,0,19,4,132
1115,998,3,3,0,0,0,5,45,4,60
1021,812,0,0,0,0,0,0,35,13,161
1321,1135,10,6,0,4,0,37,101,0,38
1472,1292,20,20,0,0,0,5,95,33,27
1845,1454,8,8,0,0,0,51,206,0,126
1207,945,6,6,0,0,0,54,147,0,55
1544,1242,14,14,0,0,0,58,77,4,149
694,577,0,0,0,0,0,10,24,15,68
871,684,4,4,0,0,0,17,77,15,74
1220,843,5,5,0,0,0,38,145,44,145
1641,1349,90,76,0,14,0,14,30,36,122
1212,1054,0,0,0,0,0,4,59,39,56
1439,1151,47,47,0,0,0,0,106,0,135
1058,909,0,0,0,0,0,19,58,9,63
1189,1045,0,0,0,0,0,0,45,0,99
1082,895,0,0,0,0,0,0,96,0,91
1387,746,14,14,0,0,0,0,120,11,496
1482,1123,14,14,0,0,0,0,117,38,190
4636,3926,299,183,51,17,0,61,116,56,178
3100,2778,60,36,13,0,0,0,100,0,162
3502,2668,287,153,74,0,0,0,239,18,290
2349,1890,93,76,17,0,0,32,153,12,169
2276,1897,198,180,18,0,0,0,35,47,99
2308,1740,177,177,0,0,0,44,234,21,92
2579,2027,167,167,0,0,0,44,92,0,249
2164,1748,170,170,0,0,0,18,69,3,156
2627,2318,113,113,0,0,0,54,21,0,121
754,640,37,32,0,5,0,11,37,0,29
3731,3153,316,280,0,36,0,0,67,12,183
2023,1710,121,91,13,17,0,50,45,10,87
2057,1828,37,37,0,0,0,0,101,0,91
1138,1042,6,6,0,0,0,16,5,0,69
2796,2294,224,196,0,28,0,63,150,26,39
3772,2913,245,175,38,17,0,120,194,43,257
3647,2951,128,90,18,20,0,66,181,68,253
2384,2080,125,112,0,0,0,0,0,82,97
2674,2095,286,274,0,12,0,72,103,26,92
1320,1098,92,64,5,23,0,36,42,19,33
3187,2356,321,155,30,14,0,109,317,24,60
3625,2242,709,401,70,121,0,43,302,123,206
1499,1030,290,102,102,0,0,32,128,10,9
2158,1670,309,187,62,30,0,8,49,11,111
2410,1876,180,73,42,42,0,79,91,15,169
3166,2868,27,0,17,10,0,0,180,15,76
1956,1684,96,66,20,0,0,39,51,11,75
2512,2120,142,93,18,0,0,17,18,118,97
3452,2790,157,84,47,15,0,19,160,89,237
1701,1503,45,9,26,10,0,0,82,0,71
1401,1259,73,33,40,0,0,0,0,5,64
3669,3180,128,89,29,0,0,102,99,7,153
5187,4490,107,1,87,0,0,108,99,92,291
2850,2591,36,36,0,0,0,73,0,26,124
3057,2599,244,131,71,42,0,19,91,39,65
4373,3608,488,167,142,55,0,68,13,88,108
4309,3596,364,216,26,87,0,78,142,36,93
3953,3106,360,251,50,59,0,59,174,45,209
1635,1189,259,120,100,20,0,9,30,28,120
3397,2638,356,152,49,26,0,66,170,53,114
2765,2416,140,65,22,38,0,106,0,0,103
2533,2239,167,99,28,40,0,30,20,0,77
1809,1486,132,88,12,22,0,20,130,0,41
3022,2792,82,82,0,0,0,33,97,0,18
2151,1912,54,32,8,14,0,0,103,20,62
4301,3780,285,210,48,11,0,18,0,34,184
2289,1911,141,119,22,0,0,32,122,20,63
2789,2174,318,267,8,43,0,62,102,23,110
2643,2290,95,69,26,0,0,0,13,30,215
3774,3426,138,73,17,48,0,0,14,0,196
2707,2276,197,129,37,31,0,40,60,20,114
1879,1626,70,22,15,22,0,33,41,0,109
2962,2577,84,78,0,0,0,9,174,60,58
2881,2621,101,79,0,22,0,0,50,24,85
1947,1618,138,59,57,0,0,0,29,8,154
3592,2969,244,177,21,22,0,51,78,26,224
1540,1270,58,47,0,11,0,10,24,12,166
1794,1595,96,82,0,14,0,0,22,36,45
3699,3315,123,110,13,0,0,0,26,12,223
2215,1994,83,48,0,0,0,0,0,16,122
4013,3302,155,142,13,0,0,39,141,33,343
2685,2320,84,74,10,0,0,19,5,20,237
2313,1872,205,170,35,0,0,0,122,0,114
2249,1990,112,109,0,3,0,0,12,3,132
2219,1955,45,45,0,0,0,34,130,22,33
864,741,44,44,0,0,0,0,21,0,58
1713,1492,116,85,0,0,0,40,25,0,40
4570,4011,93,93,0,0,0,27,66,42,331
2285,2105,31,31,0,0,0,0,17,0,132
1115,924,50,41,0,9,0,0,25,6,110
2198,1886,63,63,0,0,0,0,16,0,233
1469,1291,10,10,0,0,0,13,0,7,148
1000,784,21,21,0,0,0,0,101,0,94
3169,2813,27,27,0,0,0,0,49,54,226
2268,2079,34,34,0,0,0,19,71,0,65
3183,2643,310,115,10,12,0,56,49,10,115
3800,3245,149,78,60,0,0,50,99,53,204
2774,2486,25,1,0,15,0,26,113,21,103
3488,2842,304,115,62,62,0,96,53,30,163
2127,1540,423,273,46,17,0,5,138,0,21
1689,1369,87,77,0,0,0,0,11,48,174
1039,712,144,103,0,41,0,11,77,0,95
1412,1249,78,32,21,25,0,9,13,7,56
1950,1811,64,14,28,0,0,0,7,23,45
3230,2949,89,27,51,1,0,29,39,15,109
2666,2178,202,169,20,0,0,32,93,0,161
3054,2524,268,117,40,21,0,15,68,8,171
1847,1294,129,32,41,12,0,38,105,11,270
1063,847,66,0,66,0,0,6,27,0,117
1164,828,45,6,0,0,0,31,174,12,74
1302,1175,65,0,19,7,0,0,31,6,25
2216,1879,32,21,7,4,0,9,47,9,240
465,334,0,0,0,0,0,5,28,6,92
2220,1901,121,112,0,0,0,0,55,11,132
3163,2844,162,162,0,0,0,30,55,17,55
2364,2079,104,98,6,0,0,0,44,4,133
1479,1317,52,52,0,0,0,0,68,14,28
1335,1132,107,100,0,0,0,12,42,6,36
2341,1533,138,128,0,0,0,43,331,0,296
2450,2228,105,94,0,11,0,9,51,10,47
2323,2032,0,0,0,0,0,37,78,19,157
1028,916,0,0,0,0,0,0,0,0,112
1703,1534,44,12,0,0,0,0,29,10,86
894,815,11,0,0,6,0,0,34,16,18
562,412,10,10,0,0,0,3,70,5,62
2705,2248,13,13,0,0,0,14,127,26,277
3615,3455,2,2,0,0,0,0,52,0,106
3322,2451,38,38,0,0,0,72,612,2,147
2903,2544,18,18,0,0,0,101,62,60,118
4595,4232,37,37,0,0,0,21,58,24,223
1039,903,15,15,0,0,0,0,11,5,105
3152,2759,11,11,0,0,0,7,49,7,319
1849,1590,22,22,0,0,0,0,72,24,141
1853,1508,0,0,0,0,0,0,205,26,114
1458,1300,0,0,0,0,0,50,41,33,34
2465,2151,6,6,0,0,0,0,58,22,228
3013,2737,63,63,0,0,0,26,60,30,97
3008,2806,0,0,0,0,0,86,26,9,81
2114,1717,35,35,0,0,0,30,226,27,79
2340,1353,30,30,0,0,0,49,739,0,169
2037,1749,33,33,0,0,0,0,92,0,163
1896,1626,5,5,0,0,0,0,136,0,129
