"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
1005,929,0,0,0,0,0,0,9,33,34
2624,2272,0,0,0,0,0,0,163,27,162
1220,1109,12,12,0,0,0,0,0,14,85
2728,2403,42,42,0,0,0,52,38,4,189
2609,1942,0,0,0,0,0,0,173,54,440
1930,1581,22,22,0,0,0,0,134,0,193
2731,2354,12,12,0,0,0,33,82,23,227
1628,1476,0,0,0,0,0,0,50,32,70
1980,1830,0,0,0,0,0,0,72,18,60
1213,1083,0,0,0,0,0,0,27,27,76
909,580,0,0,0,0,0,0,147,14,168
1901,1683,0,0,0,0,0,0,102,8,108
1684,1522,0,0,0,0,0,0,28,0,134
2083,1687,0,0,0,0,0,0,274,63,59
1269,1126,0,0,0,0,0,17,28,0,98
943,883,3,3,0,0,0,0,4,0,53
1480,1224,68,54,0,14,0,9,32,22,125
3163,2914,20,20,0,0,0,19,43,54,113
2142,1980,17,17,0,0,0,0,0,8,137
930,835,0,0,0,0,0,4,0,0,91
2161,1726,9,9,0,0,0,103,47,32,244
2381,2106,0,0,0,0,0,0,28,59,188
3320,2921,10,10,0,0,0,13,100,14,262
1980,1758,17,17,0,0,0,31,79,0,95
2951,2740,0,0,0,0,0,13,93,35,70
4240,3938,0,0,0,0,0,106,44,98,54
1148,1031,36,36,0,0,0,0,2,4,75
4529,3572,0,0,0,0,0,76,173,16,692
3124,2834,0,0,0,0,0,56,13,46,175
5073,3959,24,0,0,0,0,65,89,51,885
2757,2115,0,0,0,0,0,121,141,9,371
3055,2332,86,86,0,0,0,109,290,16,222
2344,1761,59,59,0,0,0,142,301,0,81
3514,3092,0,0,0,0,0,78,107,22,215
2746,2444,0,0,0,0,0,46,72,15,169
839,744,0,0,0,0,0,9,42,0,44
4150,3526,0,0,0,0,0,74,68,31,451
3547,3256,21,0,0,0,0,0,19,121,130
5515,4914,71,71,0,0,0,67,63,10,390
772,634,0,0,0,0,0,0,36,0,102
1229,1014,0,0,0,0,0,18,29,34,134
1456,1270,0,0,0,0,0,9,34,5,138
913,754,0,0,0,0,0,0,19,17,123
1738,1527,0,0,0,0,0,9,26,29,147
2009,1837,0,0,0,0,0,0,57,14,101
1190,989,0,0,0,0,0,15,70,35,81
2095,1983,0,0,0,0,0,17,15,29,51
3002,2421,29,29,0,0,0,106,161,159,126
1744,1628,0,0,0,0,0,33,17,0,66
1209,959,0,0,0,0,0,0,66,0,184
992,920,0,0,0,0,0,0,22,0,50
2986,2663,0,0,0,0,0,63,75,43,142
2056,1734,83,83,0,0,0,80,62,55,42
2089,1819,0,0,0,0,0,45,54,0,171
3000,2764,18,18,0,0,0,12,16,75,115
2228,1926,0,0,0,0,0,29,47,31,195
1481,1376,2,2,0,0,0,0,29,10,64
1704,1647,4,4,0,0,0,0,8,12,33
1610,1452,19,19,0,0,0,10,25,54,50
1691,1417,0,0,0,0,0,9,95,40,130
1597,1361,5,0,5,0,0,0,93,27,111
869,696,8,8,0,0,0,5,70,31,59
803,526,0,0,0,0,0,10,120,21,126
2030,1728,28,28,0,0,0,24,151,15,84
1931,1705,16,16,0,0,0,4,66,13,127
1067,501,2,2,0,0,0,0,84,18,462
1918,1471,0,0,0,0,0,22,86,4,335
3418,3046,13,13,0,0,0,55,103,52,149
3157,2453,0,0,0,0,0,82,362,91,169
2703,2207,0,0,0,0,0,0,108,9,379
657,442,0,0,0,0,0,24,143,22,26
1369,1021,58,58,0,0,0,60,130,18,82
1748,1572,55,55,0,0,0,34,62,14,11
1776,1587,12,12,0,0,0,0,85,23,69
2736,2505,40,40,0,0,0,77,34,39,41
1571,1392,27,27,0,0,0,26,26,0,100
2134,2020,0,0,0,0,0,17,8,16,73
1836,1615,15,15,0,0,0,50,53,34,69
1709,1517,0,0,0,0,0,0,91,7,94
1308,1081,0,0,0,0,0,32,96,46,53
1954,1502,40,40,0,0,0,40,262,38,72
2716,2413,0,0,0,0,0,12,43,109,139
1586,1391,0,0,0,0,0,10,58,28,99
4050,3680,42,42,0,0,0,48,23,29,228
2466,2078,13,13,0,0,0,0,60,29,286
3631,3201,64,48,16,0,0,36,89,77,164
2699,2464,28,23,0,5,0,0,57,30,120
2042,1783,0,0,0,0,0,20,68,10,161
2061,1896,0,0,0,0,0,0,15,3,147
1669,1566,0,0,0,0,0,0,19,17,67
2006,1752,62,62,0,0,0,0,16,73,103
4152,3784,24,24,0,0,0,34,60,33,217
3926,3544,63,63,0,0,0,45,0,0,274
1863,1563,0,0,0,0,0,17,24,0,259
1202,964,64,64,0,0,0,0,162,0,12
2283,2069,0,0,0,0,0,47,20,62,85
3113,2694,69,69,0,0,0,22,26,12,290
3237,2212,9,9,0,0,0,202,216,34,564
1137,608,50,50,0,0,0,71,312,9,87
1063,480,83,73,0,0,10,119,242,0,139
1556,1103,37,37,0,0,0,15,52,18,331
2180,1400,41,41,0,0,0,124,232,10,373
644,445,0,0,0,0,0,8,21,47,123
922,759,18,18,0,0,0,19,15,13,98
974,777,0,0,0,0,0,0,30,13,154
1054,931,2,2,0,0,0,0,47,26,48
2293,2130,0,0,0,0,0,1,26,40,96
1998,1801,74,74,0,0,0,0,10,4,109
2653,2337,9,9,0,0,0,0,23,16,268
1603,1447,0,0,0,0,0,0,0,10,146
1815,1430,0,0,0,0,0,0,36,36,313
1021,991,1,1,0,0,0,0,29,0,0
566,353,13,7,0,0,6,0,59,42,99
1533,1206,0,0,0,0,0,24,158,58,87
1916,1819,33,33,0,0,0,19,31,0,14
1108,958,1,1,0,0,0,0,37,41,71
1662,1484,0,0,0,0,0,0,79,25,74
756,685,6,6,0,0,0,0,17,6,42
1663,1576,0,0,0,0,0,0,0,0,87
1449,1245,0,0,0,0,0,14,65,0,125
1743,1533,0,0,0,0,0,0,123,8,79
2652,2335,27,11,0,16,0,24,61,63,142
1942,1767,14,14,0,0,0,39,73,22,27
