"state","fips","county","csa","population","households"
"or","011000300","Coos","None",3305,1320
"or","011000400","Coos","None",6427,2515
"or","011000502","Coos","None",2654,1165
"or","011000503","Coos","None",2776,1003
"or","011000504","Coos","None",6614,2597
"or","011000600","Coos","None",2639,1108
"or","011000700","Coos","None",6870,2992
"or","011000800","Coos","None",2904,1230
"or","011000900","Coos","None",7355,2856
"or","011001000","Coos","None",6927,3357
"or","011001100","Coos","None",5638,2337
"or","013950100","Crook","Bend",7123,2940
"or","013950200","Crook","Bend",4378,1738
"or","013950300","Crook","Bend",5576,2505
"or","013950400","Crook","Bend",3817,1697
"or","015950100","Curry","None",3473,1625
"or","015950200","Curry","None",4711,2139
"or","015950301","Curry","None",4351,1995
"or","015950302","Curry","None",5173,2408
"or","015950400","Curry","None",4653,2188
"or","017000100","Deschutes","Bend",1960,761
"or","017000200","Deschutes","Bend",4737,2030
"or","017000300","Deschutes","Bend",8321,3682
"or","017000401","Deschutes","Bend",4868,1805
"or","017000402","Deschutes","Bend",2320,1074
"or","017000500","Deschutes","Bend",5823,2241
"or","017000600","Deschutes","Bend",6782,2931
"or","017000700","Deschutes","Bend",7696,3039
"or","017000800","Deschutes","Bend",6324,2555
"or","017000900","Deschutes","Bend",7528,3075
"or","017001001","Deschutes","Bend",13030,4507
"or","017001002","Deschutes","Bend",2407,903
"or","017001100","Deschutes","Bend",10402,3874
"or","017001200","Deschutes","Bend",6591,2690
"or","017001300","Deschutes","Bend",11270,4385
"or","017001400","Deschutes","Bend",4921,2229
"or","017001500","Deschutes","Bend",5893,2586
"or","017001600","Deschutes","Bend",4781,2298
"or","017001700","Deschutes","Bend",7952,3181
"or","017001800","Deschutes","Bend",6794,3371
"or","017001901","Deschutes","Bend",1852,676
"or","017001902","Deschutes","Bend",9081,3466
"or","017002000","Deschutes","Bend",7627,2832
"or","017002100","Deschutes","Bend",11605,4377
"or","019010000","Douglas","None",2209,1035
"or","019020000","Douglas","None",3668,1570
"or","019030000","Douglas","None",4042,1552
"or","019040000","Douglas","None",2495,1153
"or","019050001","Douglas","None",4652,1783
"or","019050002","Douglas","None",6530,2559
"or","019060000","Douglas","None",3487,1401
"or","019070000","Douglas","None",5166,2036
"or","019080000","Douglas","None",7883,3553
"or","019090000","Douglas","None",5586,2376
"or","019100000","Douglas","None",3322,1249
"or","019110000","Douglas","None",2800,1102
"or","019120000","Douglas","None",7712,3615
"or","019130000","Douglas","None",5598,2348
"or","019140000","Douglas","None",5375,2229
"or","019150000","Douglas","None",7587,2817
"or","019160000","Douglas","None",7250,2668
