"state","fips","county","csa","population","households"
"or","055950100","Sherman","None",1865,827
"or","057960100","Tillamook","None",3547,1465
"or","057960200","Tillamook","None",2192,1040
"or","057960300","Tillamook","None",2987,985
"or","057960400","Tillamook","None",7470,2829
"or","057960500","Tillamook","None",2407,992
"or","057960600","Tillamook","None",2184,1051
"or","057960700","Tillamook","None",2611,1014
"or","057960800","Tillamook","None",1902,860
"or","059940000","Umatilla","None",2956,1024
"or","059950100","Umatilla","None",4567,1768
"or","059950200","Umatilla","None",7684,2734
"or","059950300","Umatilla","None",2660,1001
"or","059950400","Umatilla","None",6389,1825
"or","059950500","Umatilla","None",4881,1919
"or","059950600","Umatilla","None",6210,2552
"or","059950700","Umatilla","None",2360,1004
"or","059950800","Umatilla","None",7677,1888
"or","059950900","Umatilla","None",3868,1414
"or","059951000","Umatilla","None",6094,2237
"or","059951100","Umatilla","None",5839,2153
"or","059951200","Umatilla","None",9096,3004
"or","059951300","Umatilla","None",3786,1322
"or","059951400","Umatilla","None",2239,899
"or","061970100","Union","None",3004,1173
"or","061970200","Union","None",3143,1177
"or","061970300","Union","None",2350,883
"or","061970400","Union","None",2993,1129
"or","061970500","Union","None",3525,1369
"or","061970600","Union","None",3959,1632
"or","061970700","Union","None",3038,1247
"or","061970800","Union","None",3729,1625
"or","063960100","Wallowa","None",1776,851
"or","063960200","Wallowa","None",1911,776
"or","063960300","Wallowa","None",3237,1369
"or","065970100","Wasco","None",4234,1615
"or","065970200","Wasco","None",2717,1153
"or","065970300","Wasco","None",3112,1104
"or","065970400","Wasco","None",3154,1218
"or","065970500","Wasco","None",3014,1365
"or","065970600","Wasco","None",2382,984
"or","065970700","Wasco","None",2628,635
"or","065970800","Wasco","None",4040,1538
"or","067030101","Washington","Portland",7462,3741
"or","067030102","Washington","Portland",5310,2109
"or","067030200","Washington","Portland",6982,2717
"or","067030300","Washington","Portland",4725,1909
"or","067030401","Washington","Portland",5127,2230
"or","067030402","Washington","Portland",4503,2168
"or","067030501","Washington","Portland",4954,2272
"or","067030502","Washington","Portland",3948,1721
"or","067030600","Washington","Portland",5412,2225
"or","067030700","Washington","Portland",1358,664
"or","067030801","Washington","Portland",6990,2796
"or","067030803","Washington","Portland",5285,2470
"or","067030805","Washington","Portland",3736,1733
"or","067030806","Washington","Portland",2524,964
"or","067030900","Washington","Portland",5029,2007
"or","067031003","Washington","Portland",7548,2939
"or","067031004","Washington","Portland",7344,3011
"or","067031005","Washington","Portland",5343,2108
"or","067031006","Washington","Portland",6234,2605
"or","067031100","Washington","Portland",2493,1116
"or","067031200","Washington","Portland",7862,3024
"or","067031300","Washington","Portland",7004,2872
"or","067031402","Washington","Portland",2688,1173
"or","067031403","Washington","Portland",4467,1842
"or","067031404","Washington","Portland",4893,2000
"or","067031504","Washington","Portland",6108,2603
"or","067031506","Washington","Portland",3860,1554
"or","067031507","Washington","Portland",5529,2185
"or","067031508","Washington","Portland",7478,2692
"or","067031509","Washington","Portland",3384,1289
"or","067031511","Washington","Portland",3033,1069
"or","067031512","Washington","Portland",7673,2751
"or","067031513","Washington","Portland",11805,3764
"or","067031514","Washington","Portland",6664,2535
"or","067031606","Washington","Portland",6589,2030
"or","067031609","Washington","Portland",8950,3420
"or","067031610","Washington","Portland",7971,3119
"or","067031611","Washington","Portland",7575,2846
"or","067031612","Washington","Portland",3153,1140
"or","067031613","Washington","Portland",6849,2698
"or","067031614","Washington","Portland",5366,1731
"or","067031615","Washington","Portland",5693,1740
"or","067031616","Washington","Portland",3168,1514
"or","067031617","Washington","Portland",4831,2299
"or","067031703","Washington","Portland",4978,1593
"or","067031704","Washington","Portland",8901,2959
"or","067031705","Washington","Portland",5078,1635
"or","067031706","Washington","Portland",5520,1968
"or","067031804","Washington","Portland",5668,1883
"or","067031805","Washington","Portland",6988,2521
"or","067031806","Washington","Portland",5171,1871
"or","067031807","Washington","Portland",3762,1626
"or","067031812","Washington","Portland",5581,2435
"or","067031813","Washington","Portland",5719,2289
"or","067031814","Washington","Portland",4087,1296
"or","067031815","Washington","Portland",7183,2619
"or","067031904","Washington","Portland",2967,1083
"or","067031907","Washington","Portland",5661,3196
"or","067031908","Washington","Portland",7478,2566
"or","067031909","Washington","Portland",4539,1437
"or","067031910","Washington","Portland",8330,2901
"or","067031911","Washington","Portland",4570,1951
"or","067031912","Washington","Portland",4392,1589
"or","067032001","Washington","Portland",5314,2165
"or","067032003","Washington","Portland",3665,1770
"or","067032004","Washington","Portland",1773,721
"or","067032005","Washington","Portland",3716,1550
"or","067032103","Washington","Portland",10042,3682
"or","067032104","Washington","Portland",4844,1592
"or","067032107","Washington","Portland",2179,769
"or","067032108","Washington","Portland",4436,1525
"or","067032109","Washington","Portland",3086,972
"or","067032110","Washington","Portland",3080,759
"or","067032200","Washington","Portland",7314,2598
"or","067032300","Washington","Portland",5058,1598
"or","067032404","Washington","Portland",7333,2434
"or","067032406","Washington","Portland",8271,2715
"or","067032407","Washington","Portland",5594,1839
"or","067032408","Washington","Portland",6791,2385
"or","067032409","Washington","Portland",5285,1457
"or","067032410","Washington","Portland",4139,1272
"or","067032501","Washington","Portland",3449,885
"or","067032502","Washington","Portland",2904,1019
"or","067032503","Washington","Portland",3639,1238
"or","067032603","Washington","Portland",7102,2264
"or","067032604","Washington","Portland",5834,2015
"or","067032606","Washington","Portland",6446,2092
"or","067032607","Washington","Portland",3398,1869
"or","067032608","Washington","Portland",2117,808
"or","067032609","Washington","Portland",2363,838
"or","067032610","Washington","Portland",2785,823
"or","067032700","Washington","Portland",4978,1796
"or","067032800","Washington","Portland",1257,451
"or","067032901","Washington","Portland",5529,1771
"or","067032902","Washington","Portland",7615,2071
"or","067033000","Washington","Portland",5028,1868
"or","067033101","Washington","Portland",3313,1212
"or","067033102","Washington","Portland",2975,1139
"or","067033200","Washington","Portland",6663,2336
"or","067033301","Washington","Portland",5784,1949
"or","067033302","Washington","Portland",4801,1768
"or","067033400","Washington","Portland",2323,826
"or","067033500","Washington","Portland",3744,1271
"or","067033600","Washington","Portland",2168,846
"or","069960100","Wheeler","None",1292,625
"or","071030101","Yamhill","Portland",5764,2092
"or","071030102","Yamhill","Portland",7181,2638
"or","071030201","Yamhill","Portland",6394,1886
"or","071030202","Yamhill","Portland",6729,2094
"or","071030301","Yamhill","Portland",9884,3191
"or","071030302","Yamhill","Portland",2113,840
"or","071030400","Yamhill","Portland",7496,2697
"or","071030501","Yamhill","Portland",6071,1709
"or","071030502","Yamhill","Portland",4647,1686
"or","071030601","Yamhill","Portland",3258,1141
"or","071030602","Yamhill","Portland",5954,2102
"or","071030701","Yamhill","Portland",7545,2998
"or","071030702","Yamhill","Portland",7655,2875
"or","071030801","Yamhill","Portland",5144,1984
"or","071030802","Yamhill","Portland",5018,1259
"or","071030900","Yamhill","Portland",4767,1588
"or","071031000","Yamhill","Portland",4182,1358
