FJM[ NTN[
DRK/ 0.228 0.048
NKR/ 0.229 0.734
>LH 0.23 0.087
BDJL=/ 0.231 -0.188
<WPRT/ 0.231 -0.188
<JN/ 0.232 -0.627
CXQ/ 0.233 0.451
GML/ 0.233 -0.609
MCBYWT/ 0.235 0.31
LXY/ 0.235 -0.177
YR/ 0.235 -0.177
JHWYDQ/ 0.239 -0.475
PTJL/ 0.24 -0.688
GL<D/ 0.242 -0.667
C>V/ 0.243 -0.542
TW<BH/ 0.245 0.112
SML/ 0.245 -0.239
MRQXH/ 0.248 -0.021
GLL/ 0.249 0.278
du 0.249 0.074
CMJM/ 0.249 -0.172
PNH/ 0.25 -0.09
DNJ>L/ 0.25 -0.687
LBNH/ 0.25 -0.067
>DWN/ 0.251 0.114
YD/ 0.252 0.25
KBWD/ 0.252 -0.134
JRJXW/ 0.253 -0.413
<FH[ 0.254 1.163
NYJB/ 0.255 0.777
BHN/ 0.257 -0.47
TNWK/ 0.257 -0.47
JW>B/ 0.258 -0.31
FPH/ 0.258 -0.296
>L=/ 0.261 -0.486
QRB/ 0.262 0.022
<QD/ 0.262 0.272
XWM/ 0.262 0.272
QBL/ 0.267 -0.267
MXJ/ 0.267 -0.267
LCWN/ 0.268 0.201
LMD/ 0.268 0.201
XQ/ 0.268 -0.356
MDBR/ 0.269 0.147
DLT/ 0.271 -0.689
QRJT->RB</ 0.274 0.286
M>H/ 0.278 -0.405
BJN[ 0.279 -0.196
GZ/ 0.281 0.021
PDWJM/ 0.281 -0.13
QBR/ 0.283 -0.032
NBWKDR>YR/ 0.283 -0.588
H= 0.284 0.662
YDJQ/ 0.286 0.342
MGZRH/ 0.289 -0.39
XRJY/ 0.289 -0.39
MGRH/ 0.289 -0.39
ZR/ 0.29 0.489
BHMH/ 0.29 -0.228
KN<NJ/ 0.291 0.19
YW>R/ 0.291 -0.6
<MF>/ 0.294 -0.964
VWB/ 0.297 0.213
YJNQ/ 0.297 0.177
LWJ/ 0.299 -0.036
<D 0.3 -0.357
XX/ 0.304 -0.029
SL/ 0.305 -0.14
MNJT/ 0.306 0.021
PNG/ 0.306 0.021
YRJ/ 0.306 0.021
NJXX/ 0.307 -0.891
<MJT/ 0.307 -0.155
XRBH=/ 0.309 -0.04
NGB/ 0.313 0.306
MYWRH/ 0.314 -1.993
<Y/ 0.314 -0.18
PH/ 0.315 -0.154
HGRJ/ 0.316 1.035
NKSJM/ 0.316 -0.169
subs 0.32 0.299
HR/ 0.322 0.061
XQH/ 0.327 -0.192
CKM/ 0.328 -0.442
JCB[ 0.328 1.114
MKSH/ 0.33 -0.313
>CM/ 0.333 -0.169
JLD[ 0.335 0.254
GLJT/ 0.335 0.039
DBR/ 0.337 -0.255
MZRX/ 0.337 -0.168
>RWN/ 0.34 -0.585
FKJN/ 0.341 -0.302
L</ 0.341 -0.302
MS/ 0.343 -0.628
MJKH/ 0.343 0.124
<JLM/ 0.345 -0.746
KRJTWT/ 0.346 0.373
N<L/ 0.346 -0.583
MXR/ 0.348 -0.076
KSWT/ 0.35 -0.159
BYWR/ 0.353 -0.081
PRWR/ 0.359 -0.333
MRQ/ 0.359 -0.333
FR/ 0.36 0.026
<DN=/ 0.36 -1
LBB/ 0.362 -0.093
DM<H/ 0.364 -0.253
N>D/ 0.364 -0.253
TBL==/ 0.364 -0.182
MGWG/ 0.364 -0.182
MCK=/ 0.364 -0.182
R<H/ 0.366 -0.472
JRDN/ 0.367 -0.064
SJNJ=/ 0.368 0.46
SD/ 0.369 -0.56
KZB/ 0.369 -0.165
MXSH/ 0.369 -0.165
MZWZH/ 0.374 0.211
>WR/ 0.376 -0.262
MRKBH/ 0.379 -0.412
GDWL/ 0.381 0.176
>JWB/ 0.382 -2.078
MBW>/ 0.386 0.2
MWY>/ 0.386 0.2
CMN==/ 0.39 -0.998
>RGZ/ 0.391 -1.506
NGF[ 0.393 -1.361
BCT/ 0.393 -0.833
GBWL/ 0.394 -0.154
JMJN/ 0.4 -0.442
JRK/ 0.4 -0.636
XLP/ 0.402 -0.533
>HL/ 0.403 -0.306
MXMD/ 0.403 0.604
GRM/ 0.404 -0.388
M<LH=/ 0.404 -0.388
C>WL=/ 0.404 -0.68
YBR/ 0.405 -0.291
QRXH/ 0.405 -1.735
KLJ/ 0.407 0.106
XMWR/ 0.408 -0.492
XRBH/ 0.409 -0.515
FQ/ 0.409 -0.43
>SJR/ 0.412 0.385
PGR/ 0.412 -0.043
N> 0.413 -0.119
>LWP/ 0.415 0.511
D<T/ 0.416 -0.37
>RB/ 0.421 -0.627
<YB/ 0.422 0.601
JLD/ 0.425 -0.316
QJN=/ 0.425 -0.48
PRSH/ 0.427 -0.247
NXWCH/ 0.427 -0.247
>WT/ 0.427 -0.365
MW<QH/ 0.428 -0.251
CQWY/ 0.429 -0.152
PRTMJM/ 0.431 -0.826
XYR/ 0.432 -0.537
ML>K/ 0.433 -0.271
THLH=/ 0.433 -0.271
<CTRT/ 0.434 -0.833
>JLH/ 0.44 -0.723
>LJC</ 0.44 -0.774
<JLWM/ 0.441 -0.252
KP/ 0.444 -0.565
FMLH/ 0.445 -0.277
<WG/ 0.446 0.272
>GMWN/ 0.446 -1.506
DRMFQ/ 0.447 0.04
GW/ 0.45 -0.681
KL>/ 0.451 -0.132
<LJ/ 0.453 -0.83
MJCWR/ 0.453 -0.774
BYR=/ 0.453 -0.774
PNJMJ/ 0.455 -1.174
XRC=/ 0.456 -0.33
PQX/ 0.456 -0.33
>LM/ 0.456 -0.33
MTNH/ 0.458 0.039
MXCK/ 0.465 -0.202
MNCH/ 0.466 -0.163
JRQ/ 0.466 0.803
KTP/ 0.474 -0.882
XBRWN=/ 0.474 -0.288
NS/ 0.475 -0.61
MLH/ 0.476 -0.613
NCP/ 0.478 -0.548
XCQ/ 0.478 -0.548
<MH/ 0.49 -0.932
MXNH/ 0.5 0.004
>MR/ 0.504 -0.329
FJM[ 0.504 -0.78
>BJWN/ 0.508 0.724
JLQWV/ 0.508 -1.558
PXH/ 0.509 -0.254
TJMN/ 0.51 -0.146
>BD[ 0.516 2.094
FKL/ 0.517 -0.261
>DWM/ 0.519 -1.119
B<L-BRJT/ 0.52 -0.862
BZH[ 0.529 0.142
CPL/ 0.529 0.142
R<===/ 0.53 -0.857
P<M/ 0.53 -0.699
MCMR/ 0.536 -0.503
verb 0.537 1.916
QVWRH/ 0.54 -0.194
SL</ 0.54 -0.754
>TH 0.548 -0.401
<RBH/ 0.549 -0.891
BRJT/ 0.55 -0.555
CM/ 0.553 -0.487
KBWDH/ 0.553 -0.479
VP/ 0.553 -0.479
PRKT/ 0.553 -0.913
LWJH/ 0.557 -0.436
MTKNT/ 0.558 -0.727
M<WN/ 0.563 -0.295
MXLH/ 0.564 -0.276
BZ/ 0.565 1.747
NHR/ 0.565 -0.305
CN=/ 0.571 -0.583
MYPH=/ 0.571 -0.583
JM/ 0.573 -0.624
CMRWN/ 0.574 -1.08
GLJL=/ 0.576 -0.685
>XR/ 0.577 -0.194
GB<H=/ 0.578 -1.731
XZ>L/ 0.58 -0.367
CMMH/ 0.581 -0.691
R<WT/ 0.584 -0.625
XLL/ 0.584 2.559
BD/ 0.586 -0.155
BJT->L/ 0.586 -1.667
MYNPT/ 0.587 -0.946
LJLH/ 0.587 -0.108
RHV/ 0.588 -0.411
MQL/ 0.588 -0.411
M<RKT/ 0.59 -0.183
XVH/ 0.591 -0.171
YRJX/ 0.593 -0.705
CXJN/ 0.593 -0.705
MYRJ/ 0.594 -0.677
>J/ 0.599 -0.454
PRC/ 0.6 -0.385
CQMH/ 0.601 -0.436
PQDH/ 0.606 -0.428
LPJD/ 0.608 -0.397
ZNB/ 0.608 -0.397
TRWMH/ 0.612 1.333
BL<DJ 0.615 -0.504
NKX=/ 0.623 -0.179
PSL/ 0.625 -0.527
>M/ 0.626 -1.134
YJDWN/ 0.633 -0.231
C<R==/ 0.633 0.417
QRJH/ 0.634 -0.848
DRKMNJM/ 0.634 1.499
KR=/ 0.635 0.514
PT/ 0.635 -0.61
KJWR/ 0.64 -0.673
GBH/ 0.643 1.315
NF>[ 0.643 1.315
TBL/ 0.648 -0.917
>RM/ 0.66 -0.08
LMW 0.664 -0.003
MNH=/ 0.664 0.93
CMJR=/ 0.673 -0.434
>BXH/ 0.679 0.887
MZWR=/ 0.688 -0.161
R>CWN/ 0.691 -0.151
MYBH/ 0.692 -0.9
QW/ 0.692 -0.908
HJMN/ 0.694 -1.689
QYT/ 0.695 1.136
NDH=/ 0.699 -0.242
KSL/ 0.703 -0.714
STR/ 0.706 -0.432
<LJLH/ 0.706 -0.374
MVH=/ 0.712 -0.821
XCN/ 0.715 -0.77
VN>/ 0.718 -0.667
YL</ 0.721 -0.519
MCVR/ 0.721 -0.547
CPV[ 0.726 -1.435
KR/ 0.735 -0.364
XWY/ 0.743 0.431
<D/ 0.743 -0.855
VHR/ 0.749 -0.396
>JTMR/ 0.751 0.29
MRRJ=/ 0.751 0.29
MBVX/ 0.753 -0.637
RB==/ 0.754 0.531
XLMJC/ 0.757 -0.41
CLC/ 0.763 -0.685
CBW<H/ 0.763 1.99
>MTXT/ 0.769 -1.344
<NW/ 0.775 -0.298
<PJ/ 0.776 -0.194
>LWH/ 0.78 -0.474
CMH/ 0.781 -1.15
BLVC>YR/ 0.783 -0.077
MGWRJM/ 0.788 -0.416
BWR/ 0.788 -0.689
MR>CWT/ 0.801 -0.563
XNP/ 0.802 -0.12
MC<NT/ 0.817 -1.124
M<WZ/ 0.824 -0.341
ZRW</ 0.833 -0.607
XD/ 0.836 -0.036
MRDKJ/ 0.856 0.121
>GN/ 0.864 -0.446
CC/ 0.874 -0.421
MY/ 0.876 -0.951
MMD/ 0.876 -0.799
QYJN/ 0.895 -1.377
>GM/ 0.896 -1.028
BRK/ 0.904 -0.855
NGD/ 0.906 -0.711
KDKD/ 0.919 -0.097
DBRH/ 0.919 -0.775
CVH/ 0.925 -1.684
XBL=/ 0.929 -0.711
M<MSH/ 0.931 -0.099
MQBT/ 0.969 -0.675
M>PL/ 0.98 -0.196
QRC/ 0.982 -0.483
GRCWN/ 0.994 -0.764
<J/ 0.995 -0.464
TMRWRJM=/ 1.019 -0.453
KTR/ 1.02 -0.962
XLB=/ 1.037 1.097
DWD=/ 1.041 -0.627
MVH/ 1.045 -0.335
>K 1.052 -0.487
MXYJT/ 1.053 0.033
P>H/ 1.066 -1.226
NTJBH/ 1.092 -0.719
NXCT/ 1.093 -0.279
YJY/ 1.094 1.308
YRR=[ 1.1 -0.283
PTX/ 1.141 -0.683
RXB=/ 1.168 -1.75
PDWT/ 1.231 -1.291
GRCNJ/ 1.241 2.246
MF>/ 1.252 -0.893
MCPXH/ 1.267 -1.23
JJN/ 1.287 2.518
YL<[ 1.336 -0.064
NGJD/ 1.357 6.239
MXTH=/ 1.358 -0.566
RWX=/ 1.64 -1.42
TCJ<J/ 1.656 -1.021
>JB[ 1.728 5.661
CMR[ 1.813 4.591
FKWJ/ 1.855 -1.541
MSTR/ 2.014 0.844
YNH/ 2.119 -0.912
NBLH=/ 2.242 5.965
GBWLH/ 4.51 -5.669
