Reges_IIr	19	18	Jesaia	37	19	100
Reges_IIr	20	5	Jesaia	38	5	80
Reges_II	15	31	Reges_IIr	23	28	85
Reges_I	16	14	Reges_IIr	23	28	93
Reges_II	8	23	Reges_IIr	21	17	89
Reges_I	16	14	Reges_IIr	21	17	84
Reges_IIr	19	13	Jesaia	37	13	97
Reges_IIr	19	28	Jesaia	37	29	100
Reges_IIr	19	27	Jesaia	37	28	100
Reges_II	15	36	Reges_IIr	24	5	94
Reges_IIr	23	31	Jeremia	52	1	85
Reges_I	15	31	Reges_IIr	21	17	83
Reges_IIr	19	10	Jesaia	37	10	100
Reges_IIr	19	29	Jesaia	37	30	97
Reges_II	12	20	Reges_IIr	23	28	99
Reges_II	16	19	Reges_IIr	21	25	96
Reges_II	8	23	Reges_IIr	21	25	95
Reges_II	15	22	Reges_IIr	24	6	82
Reges_IIr	21	20	Reges_IIr	24	9	87
Reges_IIr	25	9	Jeremia	52	13	98
Reges_IIr	20	21	Reges_IIr	24	6	82
Reges_IIr	19	23	Jesaia	37	24	94
Reges_IIr	19	22	Jesaia	37	23	99
Reges_IIr	20	15	Jesaia	39	4	100
Reges_I	16	14	Reges_IIr	21	25	88
Reges_IIr	21	20	Reges_IIr	23	37	87
Reges_IIr	20	17	Jesaia	39	6	100
Reges_II	13	8	Reges_IIr	21	17	83
Reges_I	22	40	Reges_IIr	20	21	84
Reges_IIr	22	8	Chronica_II	34	15	85
Reges_IIr	19	3	Jesaia	37	3	100
Reges_IIr	19	4	Jesaia	37	4	99
Reges_IIr	20	14	Jesaia	39	3	99
Reges_I	14	29	Reges_IIr	21	25	92
Reges_IIr	19	25	Jesaia	37	26	98
Reges_IIr	21	6	Chronica_II	33	6	88
Reges_II	15	21	Reges_IIr	21	17	84
Reges_II	10	34	Reges_IIr	21	17	84
Reges_IIr	21	2	Chronica_II	33	2	100
Reges_IIr	19	33	Jesaia	37	34	100
Reges_II	18	3	Reges_IIr	24	9	92
Reges_IIr	23	1	Chronica_II	34	29	97
Reges_II	12	20	Reges_IIr	21	17	89
Reges_IIr	21	20	Chronica_II	26	4	88
Reges_II	15	31	Reges_IIr	21	25	82
Reges_II	15	21	Reges_IIr	24	5	90
Reges_II	15	34	Reges_IIr	24	9	85
Reges_IIr	24	18	Chronica_II	36	11	79
Reges_II	1	18	Reges_IIr	21	17	79
Reges_IIr	24	19	Chronica_II	29	2	86
Reges_IIr	23	36	Chronica_II	36	5	81
Reges_IIr	23	36	Chronica_II	27	1	82
Reges_IIr	23	37	Jeremia	52	2	94
Reges_II	13	8	Reges_IIr	23	28	88
Reges_II	1	18	Reges_IIr	21	25	89
Reges_IIr	19	1	Jesaia	37	1	100
Reges_I	16	20	Reges_IIr	21	25	83
Reges_IIr	21	20	Reges_IIr	23	32	87
Reges_IIr	25	3	Jeremia	52	6	88
Reges_IIr	23	23	Chronica_II	35	19	80
Reges_IIr	25	4	Jeremia	52	7	94
Reges_IIr	24	9	Jeremia	52	2	94
Reges_II	12	20	Reges_IIr	24	5	96
Reges_IIr	22	14	Chronica_II	34	22	85
Reges_II	16	19	Reges_IIr	24	5	93
Reges_IIr	25	11	Jeremia	52	15	90
Reges_IIr	21	17	Reges_IIr	23	28	90
Reges_I	16	5	Reges_IIr	24	5	82
Reges_IIr	23	32	Reges_IIr	24	19	94
Reges_II	15	3	Reges_IIr	24	19	88
Reges_IIr	21	9	Chronica_II	33	9	80
Reges_IIr	20	19	Jesaia	39	8	90
Reges_IIr	25	21	Jeremia	52	27	100
Reges_II	15	3	Reges_IIr	21	20	88
Reges_II	8	23	Reges_IIr	24	5	97
Reges_II	13	8	Reges_IIr	24	5	87
Reges_IIr	23	32	Jeremia	52	2	94
Reges_I	16	5	Reges_IIr	23	28	85
Reges_I	15	7	Reges_IIr	24	5	81
Reges_IIr	19	37	Jesaia	37	38	100
Reges_IIr	25	8	Jeremia	52	12	92
Reges_IIr	21	7	Chronica_II	33	7	92
Reges_II	15	21	Reges_IIr	21	25	90
Reges_II	16	19	Reges_IIr	21	17	84
Reges_II	15	11	Reges_IIr	23	28	79
Reges_II	15	34	Reges_IIr	24	19	83
Reges_II	12	20	Reges_IIr	21	25	94
Reges_IIr	25	2	Jeremia	52	5	100
Reges_IIr	21	18	Chronica_II	33	20	84
Reges_IIr	24	9	Chronica_II	29	2	92
Reges_II	18	3	Reges_IIr	21	20	83
Reges_I	22	46	Reges_IIr	23	28	86
Reges_IIr	25	5	Jeremia	52	8	95
Reges_IIr	21	19	Reges_IIr	23	31	79
Reges_II	15	11	Reges_IIr	21	25	79
Reges_IIr	21	20	Chronica_II	29	2	83
Reges_IIr	21	4	Chronica_II	33	4	88
Reges_IIr	23	3	Chronica_II	34	31	86
Reges_IIr	23	37	Chronica_II	26	4	91
Reges_IIr	25	16	Jeremia	52	20	82
Reges_IIr	23	36	Jeremia	52	1	83
Reges_I	16	14	Reges_IIr	24	5	92
Reges_IIr	19	30	Jesaia	37	31	100
Reges_IIr	19	26	Jesaia	37	27	98
Reges_IIr	22	2	Chronica_II	34	2	97
Reges_II	18	3	Reges_IIr	23	32	92
Reges_IIr	21	10	Haggai	1	3	84
Reges_IIr	20	16	Jesaia	39	5	94
Reges_IIr	20	1	Jesaia	38	1	100
Reges_IIr	19	21	Jesaia	37	22	100
Reges_IIr	23	32	Chronica_II	29	2	92
Reges_IIr	19	17	Jesaia	37	18	90
Reges_IIr	22	12	Chronica_II	34	20	94
Reges_I	22	46	Reges_IIr	21	25	85
Reges_IIr	20	7	Jesaia	38	21	83
Reges_IIr	20	18	Jesaia	39	7	100
Reges_IIr	25	6	Jeremia	52	9	91
Reges_IIr	19	8	Jesaia	37	8	100
Reges_II	15	3	Reges_IIr	24	9	91
Reges_I	15	31	Reges_IIr	23	28	90
Reges_II	8	26	Reges_IIr	23	31	79
Reges_IIr	19	5	Jesaia	37	5	100
Reges_IIr	24	9	Reges_IIr	24	19	94
Reges_IIr	24	19	Chronica_II	26	4	88
Reges_IIr	25	27	Jeremia	52	31	96
Reges_IIr	19	7	Jesaia	37	7	100
Reges_IIr	19	32	Jesaia	37	33	100
Reges_IIr	25	11	Jeremia	39	9	86
Reges_I	15	7	Reges_IIr	23	28	80
Reges_II	15	6	Reges_IIr	21	17	87
Reges_I	11	41	Reges_IIr	24	5	81
Reges_IIr	19	19	Jesaia	37	20	94
Reges_IIr	21	20	Reges_IIr	24	19	84
Reges_IIr	25	29	Jeremia	52	33	89
Reges_II	14	18	Reges_IIr	24	5	88
Reges_II	14	2	Reges_IIr	23	36	81
