lexid	lexeme	vocalized	p_o_s	gloss	freq
fl	DM/	דָּם	subs	blood	360
fm	>NKJ	אָנֹכִי	prps	i	359
fn	J<QB/	יַעֲקֹב	nmpr	Jacob	349
fo	>HRWN/	אַהֲרֹון	nmpr	Aaron	347
fp	MLK[	מָלַךְ	verb	be king	347
fq	R</	רַע	adjv	evil	347
fr	<NH[	עָנָה	verb	answer	346
ft	DJ	דִּי	prep	<relative>	345
fs	>HL/	אֹהֶל	subs	tent	345
fu	SBJB/	סָבִיב	subs	surrounding	336
fv	>DWN/	אָדֹון	subs	lord	335
fw	JR>[	יָרֵא	verb	fear	332
fx	BRK[	בָּרַךְ	verb	bless	331
fy	<Y/	עֵץ	subs	tree	330
fz	KLJ/	כְּלִי	subs	tool	325
gb	FDH/	שָׂדֶה	subs	open field	320
ga	>W	אֹו	conj	or	320
gc	NBJ>/	נָבִיא	subs	prophet	319
gd	<BD[	עָבַד	verb	work, serve	316
ge	<FRJM/	עֶשְׂרִים	subs	twenty	315
gf	R<H/	רָעָה	subs	evil	313
gg	MLXMH/	מִלְחָמָה	subs	war	308
gh	PQD[	פָּקַד	verb	miss	303
gi	M>D/	מְאֹד	subs	might	300
gj	LXM/	לֶחֶם	subs	bread	299
gk	<T/	עֵת	subs	time	297
gl	SWR[	סוּר	verb	turn aside	297
gm	LWJ/	לֵוִי	adjv	Levite	296
go	XV>T/	חַטָּאת	subs	sin	293
gn	CLMH=/	שְׁלֹמֹה	nmpr	Solomon	293
gp	HMH	הֵמָּה	prps	they	291
gr	XZQ[	חָזַק	verb	be strong	290
gq	QRB[	קָרַב	verb	approach	290
gt	XJH[	חָיָה	verb	be alive	289
gs	<LH/	עֹלָה	subs	burnt-offering	289
gv	PLCTJ/	פְּלִשְׁתִּי	adjv	Philistine	288
gu	KRT[	כָּרַת	verb	cut	288
gw	BBL/	בָּבֶל	nmpr	Babel	287
gy	XDC=/	חֹדֶשׁ	subs	month	284
gx	BRJT/	בְּרִית	subs	covenant	284
gz	>JB[	אָיַב	verb	be hostile	283
ha	>TM	אַתֶּם	prps	you	283
hb	>BN/	אֶבֶן	subs	stone	281
hc	>P/	אַף	subs	nose	277
hf	Y>N/	צֹאן	subs	cattle	274
he	PR<H/	פַּרְעֹה	subs	pharaoh	274
hd	CC/	שֵׁשׁ	subs	six	274
hg	BFR/	בָּשָׂר	subs	flesh	273
hh	LM<N	לְמַעַן	prep	because of	272
hi	MDBR/	מִדְבָּר	subs	desert	270
hj	HM	הֵם	prps	they	269
hk	ML>[	מָלֵא	verb	be full	263
hl	RC</	רָשָׁע	adjv	guilty	262
hm	LBB/	לֵבָב	subs	heart	259
hn	>MH=/	אַמָּה	subs	cubit	255
ho	RGL/	רֶגֶל	subs	foot	254
hp	MVH/	מַטֶּה	subs	staff	252
hq	XJL/	חַיִל	subs	power	251
hr	XSD/	חֶסֶד	subs	loyalty	245
hs	XJ/	חַי	adjv	alive	244
ht	GBWL/	גְּבוּל	subs	boundary	240
hu	N<R/	נַעַר	subs	boy	240
hv	CLWM/	שָׁלֹום	subs	peace	237
hw	XV>[	חָטָא	verb	miss	237
hy	M<FH/	מַעֲשֶׂה	subs	deed	235
hx	>L/	אֵל	subs	god	235
hz	<WN/	עָוֹן	subs	sin	231
ic	ZKR[	זָכַר	verb	remember	231
ia	JRC[	יָרַשׁ	verb	trample down	231
ib	KTB[	כָּתַב	verb	write	231
ie	ZR</	זֶרַע	subs	seed	230
id	RBH[	רָבָה	verb	be many	230
if	QRB/	קֶרֶב	subs	interior	228
ig	LJLH/	לַיְלָה	subs	night	227
ii	BQC[	בָּקַשׁ	verb	seek	225
ih	BD/	בַּד	subs	linen, part, stave	225
ij	NXLH/	נַחֲלָה	subs	heritage	224
il	MW<D/	מֹועֵד	subs	appointment	223
ik	>DMH/	אֲדָמָה	subs	soil	223
im	CTH[	שָׁתָה	verb	drink	222
io	TWRH/	תֹּורָה	subs	instruction	220
in	>M/	אֵם	subs	mother	220
ip	JHWCW</	יְהֹושׁוּעַ	nmpr	Joshua	218
ir	NYL[	נָצַל	verb	deliver	216
iq	KWN[	כּוּן	verb	be firm	216
is	BGD/	בֶּגֶד	subs	garment	215
it	ML>K/	מַלְאָךְ	subs	messenger	215
iw	MXNH/	מַחֲנֶה	subs	camp	214
iu	<ZB[	עָזַב	verb	leave	214
iv	BQR=/	בֹּקֶר	subs	morning	214
ix	NVH[	נָטָה	verb	extend	214
iz	JWSP/	יֹוסֵף	nmpr	Joseph	213
ja	MNXH/	מִנְחָה	subs	present	213
iy	JSP[	יָסַף	verb	add	213
jb	CKB[	שָׁכַב	verb	lie down	212
jc	>HB[	אָהֵב	verb	love	211
jd	<FR/	עָשָׂר	subs	-teen	209
je	KLH[	כָּלָה	verb	be complete	206
jf	YDJQ/	צַדִּיק	adjv	just	206
jg	JC<[	יָשַׁע	verb	help	205
jh	JKL[	יָכֹל	verb	be able	205
ji	>SP[	אָסַף	verb	gather	204
jj	CPV[	שָׁפַט	verb	judge	203
jk	>RWN/	אֲרֹון	subs	ark	202
jm	LKN	לָכֵן	advb	therefore	200
jl	KBWD/	כָּבֹוד	subs	weight	200
jn	GLH[	גָּלָה	verb	uncover	197
jo	>BD[	אָבַד	verb	perish	193
jp	KP/	כַּף	subs	palm	192
jq	RWM[	רוּם	verb	be high	192
jr	XYR/	חָצֵר	subs	court	192
jt	CMN/	שֶׁמֶן	subs	oil	191
js	CBV/	שֵׁבֶט	subs	rod	191
ju	BHMH/	בְּהֵמָה	subs	cattle	190
jv	SPR/	סֵפֶר	subs	letter	190
jw	MCPXH/	מִשְׁפָּחָה	subs	clan	188
jy	R<=/	רֵעַ	subs	fellow	187
jx	>ZN/	אֹזֶן	subs	ear	187
jz	CB<[	שָׁבַע	verb	swear	185
ka	XWH[	חָוָה	verb	bow down	185
kb	BQR/	בָּקָר	subs	cattle	183
kc	JRDN/	יַרְדֵּן	nmpr	Jordan	182
kd	R>CWN/	רִאשֹׁון	adjv	first	182
ke	MYWH/	מִצְוָה	subs	commandment	181
kf	ZQN/	זָקֵן	adjv	old	181
kg	>PRJM/	אֶפְרַיִם	nmpr	Ephraim	180
kh	MW>B/	מֹואָב	nmpr	Moab	180
ki	LMH	לָמָה	inrg	why	178
kj	C>L[	שָׁאַל	verb	ask	177
kk	FPH/	שָׂפָה	subs	lip	176
kl	>BRHM/	אַבְרָהָם	nmpr	Abraham	175
km	LXM[	לָחַם	verb	fight	171
kn	QDC[	קָדַשׁ	verb	be holy	171
ko	BJN[	בִּין	verb	understand	170
kp	BXR[	בָּחַר	verb	examine	169
kq	R<H[	רָעָה	verb	pasture	168
ks	HRG[	הָרַג	verb	kill	167
kr	B<L/	בַּעַל	subs	lord, baal	167
ku	BNJMJN/	בִּנְיָמִין	nmpr	Benjamin	166
kt	>XR=/	אַחֵר	adjv	other	166
kv	DWR/	דֹּור	subs	generation	166
kw	DRC[	דָּרַשׁ	verb	inquire	164
kx	PTX/	פֶּתַח	subs	opening	164
ky	XWY/	חוּץ	subs	outside	164
kz	>JL=/	אַיִל	subs	ram, despot	163
la	MWT/	מָוֶת	subs	death	162
lc	ZBX/	זֶבַח	subs	sacrifice	162
lb	VM>[	טָמֵא	verb	be unclean	162
le	SBB[	סָבַב	verb	turn	161
ld	>K	אַךְ	advb	only	161
lg	NWS[	נוּס	verb	flee	159
lf	GBWR/	גִּבֹּור	subs	vigorous	159
lh	YDQH/	צְדָקָה	subs	justice	158
lj	XKMH/	חָכְמָה	subs	wisdom	157
li	CNJ/	שֵׁנִי	adjv	second	157
lk	RB=/	רֹב	subs	multitude	156
lm	YJWN==/	צִיֹּון	nmpr	Zion	154
ll	FMX[	שָׂמַח	verb	rejoice	154
lo	NGD/	נֶגֶד	subs	counterpart	152
ln	KSH[	כָּסָה	verb	cover	152
lp	YPWN/	צָפֹון	subs	north	152
lq	>CWR/	אַשּׁוּר	nmpr	Asshur	151
lr	NG<[	נָגַע	verb	touch	150
ls	<DH/	עֵדָה	subs	gathering	149
lt	CXT[	שָׁחַת	verb	destroy	148
lv	CMNH/	שְׁמֹנֶה	subs	eight	147
lu	CBR[	שָׁבַר	verb	break	147
lx	XJJM/	חַיִּים	subs	life	147
lw	FN>[	שָׂנֵא	verb	hate	147
ly	HLL[	הָלַל	verb	praise	146
ma	NS<[	נָסַע	verb	pull out	146
lz	MNCH/	מְנַשֶּׁה	nmpr	Manasseh	146
mc	JW>B/	יֹואָב	nmpr	Joab	145
mb	<BDH/	עֲבֹדָה	subs	work	145
me	RDP[	רָדַף	verb	pursue	143
mf	XNH[	חָנָה	verb	encamp	143
md	>RM/	אֲרָם	nmpr	Aram	143
mg	KMW	כְּמֹו	prep	like	142
mh	>Z	אָז	advb	then	141
mi	JJN/	יַיִן	subs	wine	141
mj	M<L/	מַעַל	subs	top	141
mk	NWX[	נוּחַ	verb	settle	141
mn	QR>=[	קָרָא	verb	encounter	140
ml	CMW>L/	שְׁמוּאֵל	nmpr	Samuel	140
mm	MCKN/	מִשְׁכָּן	subs	dwelling-place	140
mq	NXL/	נַחַל	subs	wadi	139
mo	JMJN/	יָמִין	subs	right-hand side	139
mp	NXCT/	נְחֹשֶׁת	subs	bronze	139
ms	JC/	יֵשׁ	subs	existence	138
mt	SWS/	סוּס	subs	horse	138
mu	XKM/	חָכָם	adjv	wise	138
mr	C	שַׁ	conj	<relative>	138
mw	PTX[	פָּתַח	verb	open	137
mv	>P	אַף	advb	even	137
mx	CMC/	שֶׁמֶשׁ	subs	sun	136
my	KS>/	כִּסֵּא	subs	seat	136
mz	PNH[	פָּנָה	verb	turn	135
nf	XLL[	חָלַל	verb	defile	134
ng	ZBX[	זָבַח	verb	slaughter	134
ne	NHR/	נָהָר	subs	stream	134
