lexid	lexeme	vocalized	p_o_s	gloss	freq
csb	>XJM<Y/	אֲחִימַעַץ	nmpr	Ahimaaz	15
cth	MXJR/	מְחִיר	subs	price	15
csz	MBVX/	מִבְטָח	subs	trust	15
csy	M>ZNJM/	מֹאזְנַיִם	subs	balances	15
crx	>MTXT/	אַמְתַּחַת	subs	sack	15
csk	DCN/	דֶּשֶׁן	subs	fatness	15
cru	>HH	אֲהָהּ	intj	alas	15
csg	CDRK/	שַׁדְרַךְ	nmpr	Shadrach	15
crq	<RPL/	עֲרָפֶל	subs	darkness	15
csa	>RK/	אָרֵךְ	adjv	long	15
cry	>NTH	אַנְתָּה	prps	you	15
csf	C>LH/	שְׁאֵלָה	subs	request	15
cst	GZZ[	גָּזַז	verb	shear	15
crw	>ML[	אָמַל	verb	wither	15
css	GZR=/	גֶּזֶר	nmpr	Gezer	15
cue	XYH[	חָצָה	verb	divide	15
cte	MQNH=/	מִקְנָה	subs	purchase	15
csx	KRH[	כָּרָה	verb	dig	15
cta	MJCK/	מֵישַׁךְ	nmpr	Meshach	15
cua	XBR/	חָבֵר	subs	companion	15
crp	<RH[	עָרָה	verb	pour out	15
csu	HLL==[	הָלַל	verb	be infatuated	15
ctx	T>R/	תֹּאַר	subs	form	15
crl	<BR=/	עֵבֶר	nmpr	Eber	15
crv	>LJPZ/	אֱלִיפַז	nmpr	Eliphaz	15
ctq	QDD[	קָדַד	verb	kneel down	15
cuk	ZW	זוּ	conj	<relative>	15
crr	<RW<R=/	עֲרֹועֵר	nmpr	Aroer	15
ctr	QHTJ/	קְהָתִי	adjv	Kohathite	15
crk	<BD_NGW/	עֲבֵד נְגֹו	nmpr	Abednego	15
csd	BNJ/	בָּנִי	nmpr	Bani	15
csm	FGJ>/	שַׂגִּיא	adjv	exalted	15
crt	<YB[	עָצַב	verb	hurt	15
csw	KLJL/	כָּלִיל	adjv	entire	15
cty	TNWR/	תַּנּוּר	subs	furnace	15
ctv	SL/	סַל	subs	basket	15
ctu	RMX/	רֹמַח	subs	lance	15
crm	<CQ/	עֹשֶׁק	subs	oppression	15
ctn	PRS[	פָּרַס	verb	break	15
csp	GCN/	גֹּשֶׁן	nmpr	Goshen	15
ctl	NZL[	נָזַל	verb	flow	15
cub	XLQJH/	חִלְקִיָּה	nmpr	Hilkiah	15
cts	QYY[	קָצַץ	verb	cut	15
csh	CLV[	שָׁלַט	verb	dominate	15
ctc	MLKJH/	מַלְכִּיָּה	nmpr	Malkijah	15
cxo	XKJM/	חַכִּים	adjv	wise	14
cxh	TN/	תַּן	subs	jackal	14
cwc	KHNH/	כְּהֻנָּה	subs	priesthood	14
cwv	PGC[	פָּגַשׁ	verb	meet	14
cwm	MXNJM/	מַחֲנַיִם	nmpr	Mahanaim	14
cvz	JXJ>L/	יְחִיאֵל	nmpr	Jehiel	14
cvd	CLJV/	שַׁלִּיט	adjv	tyrant	14
cuy	BHN/	בֹּהֶן	subs	thumb	14
cxg	RWX[	רָוַח	verb	be spacious	14
cxp	XLH/	חַלָּה	subs	bread	14
cvy	JRX/	יֶרַח	subs	month	14
cxr	XWCJ/	חוּשַׁי	nmpr	Hushai	14
cxl	V<M[	טָעַם	verb	taste	14
cwd	KRML/	כַּרְמֶל	subs	orchard	14
cwk	MMCLT/	מֶמְשֶׁלֶת	subs	dominion	14
cvx	JRCH/	יְרֻשָּׁה	subs	possession	14
cwh	LWN[	לוּן	verb	murmur	14
cun	<KR[	עָכַר	verb	taboo	14
cwt	P<LH/	פְּעֻלָּה	subs	work	14
cvb	BWZ[	בּוּז	verb	despise	14
cvw	JRB<L/	יְרֻבַּעַל	nmpr	Jerub-Baal	14
cxm	VWL[	טוּל	verb	cast	14
cww	PRD/	פֶּרֶד	subs	mule	14
cxc	QRX===/	קָרֵחַ	nmpr	Kareah	14
cxa	QBWRH/	קְבוּרָה	subs	grave	14
cwp	NTN>L/	נְתַנְאֵל	nmpr	Nethanel	14
cvo	GB=/	גֵּב	subs	pit	14
cwq	NTQ/	נֶתֶק	subs	scab	14
cvn	GB/	גַּב	subs	curve	14
cwl	MWR[	מוּר	verb	exchange	14
cuq	<YL/	עָצֵל	adjv	sluggish	14
cwb	KBD=/	כָּבֵד	subs	liver	14
cxk	TXC/	תַּחַשׁ	subs	tachash-skin	14
cws	NXT[		verb	descend	14
cvq	GDR/	גָּדֵר	subs	wall	14
cwf	LWH=[	לָוָה	verb	borrow	14
cvh	DC>/	דֶּשֶׁא	subs	young grass	14
cwa	KBC[	כָּבַשׁ	verb	subdue	14
cvj	DQ/	דַּק	adjv	thin	14
cxf	RWH[	רָוָה	verb	drink	14
cus	>LJ<ZR/	אֱלִיעֶזֶר	nmpr	Eliezer	14
cxv	ZMRJ/	זִמְרִי	nmpr	Zimri	14
cvl	G<R[	גָּעַר	verb	rebuke	14
cwr	NWH=/	נָוָה	subs	pasture	14
cwe	LBWC=/	לָבוּשׁ	adjv	clad	14
cxi	TRYH/	תִּרְצָה	nmpr	Tirzah	14
cwu	PCXWR/	פַּשְׁחוּר	nmpr	Pashhur	14
cwx	PSX=/	פִּסֵּחַ	adjv	lame	14
cux	>ZWR/	אֵזֹור	subs	loin-cloth	14
cvi	DGL/	דֶּגֶל	subs	banner	14
cxj	TWCB/	תֹּושָׁב	subs	sojourner	14
cwz	QBB[	קָבַב	verb	curse	14
cxb	QMX/	קֶמַח	subs	flour	14
cvc	C>P[	שָׁאַף	verb	gasp	14
cvk	FJX=/	שִׂיחַ	subs	concern	14
cuo	<MRM/	עַמְרָם	nmpr	Amram	14
cve	CLL[	שָׁלַל	verb	plunder	14
cvv	JGWN/	יָגֹון	subs	grief	14
cxt	Y<D/	צַעַד	subs	marching	14
cvu	JDWTWN=/	יְדוּתוּן	nmpr	Jeduthun	14
cxu	YJD/	צַיִד	subs	hunting	14
cwi	MFKJL/	מַשְׂכִּיל	subs	<uncertain>	14
cxq	XT==/	חֵת	nmpr	Heth	14
cxs	XWTM/	חֹותָם	subs	seal	14
cxd	QYR[	קָצַר	verb	be short	14
cvp	GBJ</	גָּבִיעַ	subs	cup	14
cuw	>RG[	אָרַג	verb	weave	14
cwo	NGJNH/	נְגִינָה	subs	music	14
cwn	MXY[	מָחַץ	verb	break	14
cur	>JTN/	אֵיתָן	adjv	ever-flowing	14
cvf	CLVN/	שָׁלְטָן	subs	official	14
cvs	GRH[	גָּרָה	verb	stir	14
cup	<QB=/	עָקֵב	subs	heel	14
cul	<DJ/	עֲדִי	subs	ornament	14
cum	<DN=/	עֵדֶן	nmpr	Eden	14
cwy	PT/	פַּת	subs	bit	14
cwg	LWL>	לוּלֵא	conj	unless	14
cwj	MKCWL/	מִכְשֹׁול	subs	stumbling block	14
cut	>LK	אִלֵּךְ	prde	these	14
cuv	>NP[	אָנַף	verb	be angry	14
cxn	XKH[	חָכָה	verb	wait	14
cvm	G>LH/	גְּאֻלָּה	subs	right of buying back	14
cva	BRJ>/	בָּרִיא	adjv	fat	14
cuu	>LP==/	אֶלֶף	subs	group of thousand	14
cvg	CRY[	שָׁרַץ	verb	swarm	14
cxe	RJQ=/	רֵיק	adjv	empty	14
cvr	GRCM/	גֵּרְשֹׁם	nmpr	Gershom	14
cuz	BR=/	בֹּר	subs	cleanness	14
cvt	JCR=/	יֹשֶׁר	subs	uprightness	14
dap	RP>JM=/	רְפָאִים	nmpr	Rephaim	13
czp	MDWN/	מָדֹון	subs	contention	13
cyn	CWV[	שׁוּט	verb	rove about	13
dac	NYH[	נָצָה	verb	decay	13
cyv	GRCNJ/	גֵּרְשֻׁנִּי	adjv	Gershonite	13
dav	T>/	תָּא	subs	chamber	13
cyr	DGWN/	דָּגֹון	nmpr	Dagon	13
cyb	>MRJH/	אֲמַרְיָה	nmpr	Amariah	13
cyj	CBX[	שָׁבַח	verb	praise	13
cxz	>BJNDB/	אֲבִינָדָב	nmpr	Abinadab	13
cyx	GWJH/	גְּוִיָּה	subs	body	13
dbj	XZQJH/	חִזְקִיָּה	nmpr	Hizkiah	13
czj	KR/	כַּר	subs	ram	13
dal	R<B[	רָעֵב	verb	be hungry	13
dat	STM[	סָתַם	verb	stop up	13
daz	VJV/	טִיט	subs	clay	13
dbc	XMWR=/	חֲמֹור	nmpr	Hamor	13
cyc	>MWY/	אָמֹוץ	nmpr	Amoz	13
cyp	CXR[	שָׁחַר	verb	look for	13
dan	RKB==/	רֵכָב	nmpr	Recab	13
daw	TNJN/	תַּנִּין	subs	sea-monster	13
dbf	XNWN/	חַנּוּן	adjv	gracious	13
dai	QN/	קֵן	subs	nest	13
cyt	FRPH/	שְׂרֵפָה	subs	burning	13
czd	JLJD/	יָלִיד	subs	son	13
dbk	XZW/	חֲזֹו	nmpr	Hazo	13
dbm	YPRD</	צְפַרְדֵּעַ	subs	frog	13
cyg	BRQ=/	בָּרָק	nmpr	Barak	13
czc	JBWL/	יְבוּל	subs	produce	13
czb	J<ZJR/	יַעְזֵיר	nmpr	Jazer	13
dam	RG<[	רָגַע	verb	stir	13
czq	MJK>L/	מִיכָאֵל	nmpr	Michael	13
dba	WW/	וָו	subs	hook	13
czg	K<N	כְּעַן	advb	now	13
cyk	CJRH/	שִׁירָה	subs	song	13
dab	NTX/	נֵתַח	subs	piece	13
dbn	YWB>/	צֹובָא	nmpr	Zobah	13
cyo	CXJN/	שְׁחִין	subs	boil	13
dbb	XBQ[	חָבַק	verb	embrace	13
cym	CKWR/	שִׁכֹּור	adjv	drunk	13
cya	>LH===/	אֵלָה	nmpr	Elah	13
dau	T<R/	תַּעַר	subs	knife	13
czo	MBWL/	מַבּוּל	subs	deluge	13
cyz	HWH==/	הַוָּה	subs	destruction	13
czr	MN/	מָן	subs	manna	13
dak	QYJN/	קָצִין	subs	chief	13
dbo	YWQ[	צוּק	verb	oppress	13
daj	QW/	קָו	subs	line	13
czt	MRP>/	מַרְפֵּא	subs	healing	13
dbh	XRMWN/	חֶרְמֹון	nmpr	Hermon	13
cza	J<J>L/	יְעִיאֵל	nmpr	Jeiel	13
cxx	<NTWT/	עֲנָתֹות	nmpr	<town>	13
czi	KPR/	כֹּפֶר	subs	ransom	13
dbd	XNH/	חַנָּה	nmpr	Hannah	13
dag	PQJD/	פָּקִיד	subs	officer	13
dbq	ZD/	זֵד	adjv	insolent	13
cye	>PH[	אָפָה	verb	bake	13
dbr	ZMM[	זָמַם	verb	ponder	13
dbg	XR=/	חֹר	subs	noble one	13
dbp	YXQ[	צָחַק	verb	laugh	13
czn	M<RB/	מַעֲרָב	subs	sunset	13
dbi	XZH/	חָזֶה	subs	breast	13
cxw	<MJNDB/	עַמִּינָדָב	nmpr	Amminadab	13
czz	N<JM/	נָעִים	adjv	pleasant	13
cze	JMJNJ/	יְמִינִי	adjv	Benjaminite	13
czw	MXSWR/	מַחְסֹור	subs	need	13
cyq	DB/	דֹּב	subs	bear	13
cxy	<VH[	עָטָה	verb	cover	13
dao	RMLJHW/	רְמַלְיָהוּ	nmpr	Remaliah	13
daq	S<D[	סָעַד	verb	support	13
czv	MXMD/	מַחְמָד	subs	desire	13
cyu	GDL/	גֹּדֶל	subs	greatness	13
czl	LPJD/	לַפִּיד	subs	torch	13
czs	MR<H/	מִרְעֶה	subs	pasture	13
dbs	ZWB/	זֹוב	subs	flux	13
dbe	XNP/	חָנֵף	adjv	alienated	13
cyy	HMM[	הָמַם	verb	confuse	13
czf	JZR<>LJ/	יִזְרְעֵאלִי	adjv	Jezreelite	13
czm	M<GL/	מַעְגָּל	subs	course	13
cyi	BXJR/	בָּחִיר	adjv	chosen	13
czy	MYX/	מֵצַח	subs	forehead	13
czx	MYLTJM/	מְצִלְתַּיִם	subs	cymbals	13
cyw	GW>/	גֹּוא	subs	interior	13
czu	MTNJH/	מַתַּנְיָה	nmpr	Mattaniah	13
dae	PL>/	פֶּלֶא	subs	miracle	13
czh	KFB/	כֶּשֶׂב	subs	young ram	13
cyl	CKM==/	שְׁכֶם	nmpr	Shechem	13
dad	P>R[	פָּאַר	verb	glorify	13
cyd	>N>	אָנָּא	intj	pray	13
czk	LL>T/	לֻלָאֹת	subs	loops	13
day	VHRH/	טָהֳרָה	subs	purification	13
dax	VBX/	טֶבַח	subs	slaughtering	13
cys	FDJ/	שָׂדַי	subs	open field	13
daa	NBLH/	נְבָלָה	subs	stupidity	13
dah	QDJC/	קַדִּישׁ	adjv	holy	13
dar	SKN[	סָכַן	verb	serve	13
cyf	>XCDRPN/	אֲחַשְׁדַּרְפָּן	subs	satrap	13
das	SNXRJB/	סַנְחֵרִיב	nmpr	Sennacherib	13
dbl	YB>[	צָבָא	verb	serve	13
daf	PNJMH	פְּנִימָה	advb	within	13
cyh	BT=/	בַּת	subs	<measure>	13
dcq	CJLW/	שִׁילֹו	nmpr	Shiloh	12
ddn	MBXR/	מִבְחָר	subs	choice	12
ddc	HLM	הֲלֹם	advb	hither	12
dcp	BWS[	בּוּס	verb	tread down	12
dcg	>RMJ/	אֲרַמִּי	adjv	Aramean	12
dby	<PRWN/	עֶפְרֹון	nmpr	Ephron	12
dek	R>C=/	רֹאשׁ	subs	poison	12
dcm	BL<==/	בֶּלַע	nmpr	<king of edom>	12
deq	RWT/	רוּת	nmpr	Ruth	12
ddg	JXJD/	יָחִיד	adjv	only one	12
ddx	MTWQ/	מָתֹוק	adjv	sweet	12
dct	DBR=====/	דְּבִר	nmpr	Debir	12
deh	QDR/	קֵדָר	nmpr	Kedar	12
dez	XNKH/	חֲנֻכָּה	subs	dedication	12
deg	QDC===/	קֶדֶשׁ	nmpr	Kedesh	12
dcs	CW>H/	שֹׁואָה	subs	trouble	12
dfa	XNN/	חָנָן	nmpr	Hanan	12
dfh	YMX/	צֶמַח	subs	sprout	12
dew	XCBJH/	חֲשַׁבְיָה	nmpr	Hashabiah	12
dcb	>DMJ/	אֲדֹמִי	adjv	Edomite	12
dcu	GDWLH/	גְּדוּלָּה	subs	greatness	12
ded	NCK/	נֶשֶׁךְ	subs	interest	12
dcr	CRQ[	שָׁרַק	verb	whistle	12
dcy	GWG/	גֹּוג	nmpr	Gog	12
des	TJKWN/	תִּיכֹון	adjv	middle	12
def	NPX[	נָפַח	verb	blow	12
dfe	XWL[	חוּל	verb	dance	12
ddl	LXY/	לַחַץ	subs	oppression	12
dci	>SJR/	אָסִיר	subs	prisoner	12
der	SLL[	סָלַל	verb	build	12
dey	XLQ=/	חָלָק	adjv	smooth	12
ddq	MGDW/	מְגִדֹּו	nmpr	Megiddo	12
dfb	XPH[	חָפָה	verb	cover	12
dbz	>BJHW>/	אֲבִיהוּא	nmpr	Abihu	12
dex	XLJPH/	חֲלִיפָה	subs	substitute	12
dej	QRB=/	קָרֵב	adjv	approaching	12
deu	TMR/	תָּמָר	subs	date-palm	12
dbu	<LJ/	עִלִּי	adjv	upper	12
ddi	LHB/	לַהַב	subs	flame	12
ddk	LWH[	לָוָה	verb	accompany	12
dem	RB<[	רָבַע	verb	be square	12
dcj	>WPJR/	אֹופִיר	nmpr	<land of gold>	12
del	R>H/	רֹאֶה	subs	seer	12
ddo	MCQH/	מַשְׁקֶה	subs	butler, irrigated, drink	12
dcl	BJ	בִּי	intj	upon me	12
dcn	BQR[		verb	attend to	12
dbt	<GLH/	עֶגְלָה	subs	cow	12
dfd	XRY[	חָרַץ	verb	cut off	12
dbx	<NH=/	עֲנָה	nmpr	Anah	12
dck	BHRT/	בַּהֶרֶת	subs	<spot on skin>	12
dei	QJNJ/	קֵינִי	adjv	Kenite	12
ddz	MXLJ=/	מַחְלִי	nmpr	Mahli	12
dfl	ZNWNJM/	זְנוּנִים	subs	fornication	12
dce	>NX[	אָנַח	verb	gasp	12
ddf	JTJR/	יַתִּיר	nmpr	Jattir	12
dda	HDD/	הֲדַד	nmpr	Hadad	12
dea	MYNPT/	מִצְנֶפֶת	subs	turban	12
ddm	M<LH/	מַעֲלֶה	subs	ascent	12
dcv	GJXZJ/	גֵּיחֲזִי	nmpr	Gehazi	12
dca	>CQLWN/	אַשְׁקְלֹון	nmpr	Ashkelon	12
dep	RQMH/	רִקְמָה	subs	woven stuff	12
dfk	ZKRJ/	זִכְרִי	nmpr	Zicri	12
ddy	MWVH/	מֹוטָה	subs	yoke-bar	12
dfg	YLMN</	צַלְמֻנָּע	nmpr	Zalmunna	12
dfj	ZBX=/	זֶבַח	nmpr	Zebah	12
dch	>RNN=/	אָרְנָן	nmpr	Ornan	12
ddp	MCWBH/	מְשׁוּבָה	subs	apostasy	12
ddu	MR==/	מֹר	subs	myrrh	12
ddw	MS</	מַסַּע	subs	breaking	12
dbv	<MJT/	עָמִית	subs	fellow	12
deb	MYWLH/	מְצֹולָה	subs	depth	12
dcw	GLGLT/	גֻּלְגֹּלֶת	subs	skull	12
dev	TWCJH/	תּוּשִׁיָּה	subs	effect	12
den	RGLJ/	רַגְלִי	adjv	on foot	12
dec	NBW=/	נְבֹו	nmpr	<mountain>	12
det	TMNH/	תִּמְנָה	nmpr	Timnah	12
ddb	HGR/	הָגָר	nmpr	Hagar	12
ddd	HR=/	הֹר	nmpr	Mount Hor	12
dcf	>PH/	אֹפֶה	subs	baker	12
ddt	MQYW</	מִקְצֹועַ	subs	corner post	12
dff	YBH[	צָבָה	verb	swell	12
dcd	>LJQJM/	אֶלְיָקִים	nmpr	Eliakim	12
dde	J>JR/	יָאִיר	nmpr	Jair	12
dcz	H>X	הֶאָח	intj	aha	12
dfc	XQR/	חֵקֶר	subs	exploration	12
dco	BRZLJ/	בַּרְזִלַּי	nmpr	Barzillai	12
dbw	<MLQJ/	עֲמָלֵקִי	adjv	Amalekite	12
dfi	Z<M[	זָעַם	verb	curse	12
dds	MNH/	מָנָה	subs	portion	12
dcc	>DRT/	אַדֶּרֶת	subs	splendour	12
dee	NCP/	נֶשֶׁף	subs	breeze	12
deo	RJQ/	רִיק	subs	emptiness	12
ddh	LBNH/	לְבֵנָה	subs	brick	12
ddj	LJY[	לִיץ	verb	boast	12
ddr	MHWMH/	מְהוּמָה	subs	discomfiture	12
ddv	MR>H=/	מַרְאָה	subs	vision	12
dcx	GLL/	גָּלָל	subs	matter	12
djg	TRX/	תֶּרַח	nmpr	Terah	11
djs	XRM==/	חָרִם	nmpr	Harim	11
dhd	JPT/	יֶפֶת	nmpr	Japheth	11
dgx	GL<DJ/	גִּלְעָדִי	adjv	Gileadite	11
dhl	KNS[	כָּנַס	verb	gather	11
dfy	>BL	אֲבָל	intj	verily	11
djh	VBX[	טָבַח	verb	slaughter	11
djx	ZDWN/	זָדֹון	subs	insolence	11
dha	HDP[	הָדַף	verb	push	11
djc	SLLH/	סֹלֲלָה	subs	rampart	11
dgc	>NXH/	אֲנָחָה	subs	sigh	11
dhn	LHV[	לָהַט	verb	devour	11
dhv	MWR>/	מֹורָא	subs	fear	11
dhb	JD<JH/	יְדַעְיָה	nmpr	Jedaiah	11
djd	SPJR/	סַפִּיר	subs	lapis lazuli	11
dgg	>WN/	אֹון	subs	generative power	11
dgv	DQR[	דָּקַר	verb	pierce	11
dgm	BWZ/	בּוּז	subs	contempt	11
dik	PQX=/	פֶּקַח	nmpr	Pekah	11
dix	R<M[	רָעַם	verb	thunder	11
djt	XWX/	חֹוחַ	subs	thorn	11
diy	R<W>L/	רְעוּאֵל	nmpr	Reuel	11
dio	PVR/	פֶּטֶר	subs	first-born	11
dhs	MLKH=/	מִלְכָּה	nmpr	Milcah	11
diw	QWY/	קֹוץ	subs	thorn-bush	11
dhx	MYD/	מְצָד	subs	unapproachable	11
dfr	<RMH=/	עֲרֵמָה	subs	heap	11
dgb	>LP/	אֶלֶף	subs	cattle	11
djz	ZJD[	זִיד	verb	be presumptuous	11
dgr	CW<H/	שַׁוְעָה	subs	cry	11
dhp	MC<NT/	מִשְׁעֶנֶת	subs	support	11
div	QSM/	קֶסֶם	subs	divination	11
dfu	<WLL/	עֹולֵל	subs	child	11
djq	XNP[	חָנֵף	verb	alienate	11
dhj	JWZBD/	יֹוזָבָד	nmpr	Jozabad	11
dip	PWX[	פּוּחַ	verb	wheeze	11
dgt	DCN[	דָּשֵׁן	verb	grow fat	11
dgq	CQY/	שֶׁקֶץ	subs	something detestable	11
dij	PLG/	פֶּלֶג	subs	division	11
djw	YLPXD/	צְלָפְחָד	nmpr	Zelophehad	11
dje	TJMN=/	תֵּימָן	nmpr	Teman	11
dgw	G>L=[	גָּאַל	verb	pollute	11
dig	NYJB/	נְצִיב	subs	pillar	11
dgz	GZJT/	גָּזִית	subs	hewn stone	11
dgo	CHM/	שֹׁהַם	subs	carnelian	11
dih	P>RN/	פָּארָן	nmpr	Paran	11
dfv	<WT[	עָוַת	verb	be crooked	11
dkb	ZLL[	זָלַל	verb	be lavish	11
dgk	BRJ<H/	בְּרִיעָה	nmpr	Beriah	11
dhm	LBJ>/	לָבִיא	subs	lion	11
dgs	CWL/	שׁוּל	subs	skirt	11
dhk	KBJR/	כַּבִּיר	adjv	great	11
dgi	BDD/	בָּדָד	subs	alone	11
djr	XNWN=/	חָנוּן	nmpr	Hanun	11
djk	XBR===/	חֶבֶר	nmpr	Heber	11
djp	XNNJ/	חֲנָנִי	nmpr	Hanani	11
dif	NXC[	נָחַשׁ	verb	divine	11
dge	>TNN/	אֶתְנַן	subs	gift	11
diq	QDC=/	קָדֵשׁ	adjv	temple prostitute	11
dhh	JW>X/	יֹואָח	nmpr	Joah	11
dhz	NB<[	נָבַע	verb	bubble	11
djm	XMJCJT/	חֲמִישִׁית	subs	fifth part	11
dhw	MXTH=/	מְחִתָּה	subs	terror	11
djn	XMWT/	חָמֹות	subs	mother-in-law	11
dgd	>RF[		verb	betroth	11
din	PTWX/	פִּתּוּחַ	subs	engraving	11
dgu	DDN/	דְּדָן	nmpr	Dedan	11
dfs	<RWM=/	עָרוּם	adjv	shrewd	11
dkc	ZNB/	זָנָב	subs	tail	11
dgy	GRH=/	גֵּרָה	subs	cud	11
dfw	<ZJ/	עֻזִּי	nmpr	Uzzi	11
dic	NGX[	נָגַח	verb	gore	11
djl	XCQ[	חָשַׁק	verb	love	11
dia	NBL=/	נֵבֶל	subs	jar	11
dgn	CBTWN/	שַׁבָּתֹון	subs	sabbatical feast	11
dit	QNZ/	קְנַז	nmpr	Kenaz	11
dfo	<NN[	עָנַן	verb	appear	11
dhf	JQY[		verb	awake	11
dil	PRQ[	פָּרַק	verb	tear away	11
dju	Y>Y>JM/	צֶאֱצָאִים	subs	offspring	11
dhi	JWN=/	יָוָן	nmpr	<jawan, Greece>	11
dho	LMK/	לֶמֶךְ	nmpr	Lamech	11
djf	TLT/	תְּלָת	subs	three	11
dhc	JD<NJ/	יִדְּעֹנִי	subs	soothsayer	11
dfx	>BJRM/	אֲבִירָם	nmpr	Abiram	11
dfz	>JC_BCT/	אִישׁ בֹּשֶׁת	nmpr	Ish-Bosheth	11
dfn	<ML[	עָמַל	verb	labour	11
dir	QDQD/	קָדְקֹד	subs	scalp	11
dhq	MD/	מַד	subs	cloth	11
djj	XBL=[	חָבַל	verb	be corrupt	11
dft	<VP=[	עָטַף	verb	faint	11
djy	ZH=	זֹה	prde	this	11
did	NPQ[	נְפַק	verb	go out	11
dis	QDRWN/	קִדְרֹון	nmpr	Kidron	11
dgl	BT_CB</	בַּת שֶׁבַע	nmpr	Bathsheba	11
dib	NCK[	נָשַׁךְ	verb	bite	11
dka	ZK/	זַךְ	adjv	pure	11
djo	XMY/	חָמֵץ	subs	leaven	11
dfq	<QC/	עִקֵּשׁ	adjv	crooked	11
dga	>JL/	אַיָּל	subs	fallow-buck	11
dgf	>WDWT/	אֹודֹות	subs	inducement	11
dgj	BNJH=/	בְּנָיָה	nmpr	Benaiah	11
dhg	JTRT/	יֹתֶרֶת	subs	appendage of liver	11
dfp	<NP/	עָנָף	subs	branches	11
djv	YBJ=/	צְבִי	subs	gazelle	11
die	NVWPTJ/	נְטֹופָתִי	adjv	Netophathite	11
dji	VWX[	טוּחַ	verb	plaster	11
dii	PDN/	פַּדָּן	subs	<paddan>, field?	11
dgp	CQD[	שָׁקַד	verb	be wakeful	11
dja	RQ<[	רָקַע	verb	stamp	11
dhr	MGWRJM/	מְגוּרִים	subs	neighbourhood	11
diz	RBLH/	רִבְלָה	nmpr	Riblah	11
dhe	JQR[	יָקַר	verb	be precious	11
dht	MLXMT/	מִלְחֶמֶת	subs	war	11
dhu	MN=	מָן	prin	what	11
dgh	>ZL[	אָזַל	verb	go away	11
diu	QRXH/	קָרְחָה	subs	baldness	11
dfm	<BDJH/	עֹבַדְיָה	nmpr	Obadiah	11
dim	PTJL/	פָּתִיל	subs	cord	11
djb	RYJN/	רְצִין	nmpr	Rezin	11
dhy	N<R[	נָעַר	verb	shake off	11
dlu	GDD[	גָּדַד	verb	gather	10
dlj	CMN=/	שָׁמֵן	adjv	fat	10
dkm	<WBD/	עֹובֵד	nmpr	Obed	10
dln	CTL[	שָׁתַל	verb	transplant	10
dmb	JHWJKJN/	יְהֹויָכִין	nmpr	Jehoiachin	10
dlb	BKRH/	בְּכֹרָה	subs	right of first-born	10
dmz	PR>/	פֶּרֶא	subs	zebra	10
dni	QYT/	קְצָת	subs	end	10
dnm	SNBLV/	סַנְבַלַּט	nmpr	Sanballat	10
dny	XRB==/	חָרֵב	adjv	dry	10
dmx	NXWCH/	נְחוּשָׁה	subs	bronze	10
dmq	MR>CWT/	מְרַאֲשֹׁות	subs	head-place	10
dnd	QDMNJ/	קַדְמֹנִי	adjv	eastern	10
dkp	>GRT/	אִגֶּרֶת	subs	letter	10
dnl	SBL[	סָבַל	verb	bear	10
dkd	<JRM/	עֵירֹם	adjv	naked	10
dme	KL>/	כֶּלֶא	subs	prison	10
dlc	BLHH/	בַּלָּהָה	subs	terror	10
dmp	MR<JT/	מַרְעִית	subs	pasturage	10
dnk	RBW>/	רִבֹּוא	subs	ten thousand	10
doc	YN=/	צִן	nmpr	Zin	10
dlx	GRR/	גְּרָר	nmpr	Gerar	10
dkq	>JLWN==/	אַיָּלֹון	nmpr	Aijalon	10
dnw	XLY/	חֶלֶץ	subs	loins	10
dmf	KLL[	כָּלַל	verb	perfect	10
dnj	RBH/	רַבָּה	nmpr	Rabbah	10
dmk	MLL[	מָלַל	verb	make signs	10
dky	B<WR/	בְּעֹור	nmpr	Beor	10
dlt	GBWLH/	גְּבוּלָה	subs	boundary	10
dnv	XJH==/	חַיָּה	subs	life	10
dkf	<MJHWD/	עַמִּיהוּד	nmpr	Ammihud	10
dms	MYB/	מַצָּב	subs	standing place	10
dkr	>JPH	אֵיפֹה	inrg	where	10
dkg	<NG[	עָנַג	verb	be dainty	10
dmg	KRTJ/	כְּרֵתִי	adjv	Cherethite	10
dld	BLHH=/	בִּלְהָה	nmpr	<mother of Dan Naphtali>	10
dnh	QVL[	קָטַל	verb	kill	10
dlo	DBWRH=/	דְּבֹורָה	nmpr	Deborah	10
dly	GTJ/	גִּתִּי	adjv	Gittite	10
dkw	>WY[	אוּץ	verb	urge	10
dmh	M<RKT/	מַעֲרֶכֶת	subs	row	10
dno	THPKWT/	תַּהְפֻּכֹות	subs	perversity	10
dkv	>PLH/	אֲפֵלָה	subs	darkness	10
dli	C>NN/	שַׁאֲנָן	adjv	at ease	10
dmt	NCQ/	נֵשֶׁק	subs	equipment	10
dmo	MQRH/	מִקְרֶה	subs	accident	10
dle	BLVC>YR/	בֵּלְטְשַׁאצַּר	nmpr	Belteshazzar	10
dkt	>LWN/	אֵלֹון	subs	big tree	10
doe	ZKWR==/	זַכּוּר	nmpr	Zaccur	10
dmm	MMKR/	מִמְכָּר	subs	what is sold	10
dnf	QNJN/	קִנְיָן	subs	property	10
doa	Y<R/	צֹעַר	nmpr	Zoar	10
dml	MLW>/	מִלֹּוא	subs	mound	10
dlh	C>LTJ>L/	שְׁאַלְתִּיאֵל	nmpr	Shealtiel	10
