passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 17:20	LGWJ GDWL00 	to people great	GWJ 	GDWL00 	1	1
Genesis 17:21	LMW<D HZH B#NH H>XRT00 	to the appointment the this in the year the other	#NH 	H>XRT00 	2	1
Genesis 17:23	>T&J#M<>L BNW W>T KL&JLJDJ BJTW W>T KL&MQNT KSPW KL&ZKR B>N#J BJT >BRHM 	<object marker> Ishmael son and <object marker> whole son house and <object marker> whole purchase silver whole male in man house Abraham	KL&	ZKR 	1	1
Genesis 18:7	BN&BQR RK WVWB 	son cattle tender and good	BN&BQR 	RK WVWB 	2	2
Genesis 18:10	K<T XJH 	as the time alive	<T 	XJH 	2	1
Genesis 18:14	K<T XJH 	as the time alive	<T 	XJH 	2	1
Genesis 18:18	LGWJ GDWL W<YWM 	to people great and mighty	GWJ 	GDWL W<YWM 	1	1
Genesis 20:4	GWJ GM&YDJQ 	people even just	GWJ 	GM&YDJQ 	1	1
Genesis 20:9	XV>H GDLH 	sin great	XV>H 	GDLH 	1	1
Genesis 21:8	M#TH GDWL 	drinking great	M#TH 	GDWL 	1	1
Genesis 21:18	LGWJ GDWL 	to people great	GWJ 	GDWL 	1	1
Genesis 21:34	JMJM RBJM00 	day much	JMJM 	RBJM00 	1	1
Genesis 22:4	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Genesis 23:9	BKSP ML> 	in silver full	KSP 	ML> 	1	1
Genesis 25:8	B#JBH VWBH 	in age good	#JBH 	VWBH 	1	1
Genesis 25:27	>J# TM 	man complete	>J# 	TM 	1	1
Genesis 26:1	MLBD HR<B HR>#WN 	from to linen, part, stave the hunger the first	HR<B 	HR>#WN 	2	1
Genesis 26:14	MQNH&Y>N WMQNH BQR W<BDH RBH 	purchase cattle and purchase cattle and slaves much	<BDH 	RBH 	1	1
Genesis 26:19	B>R MJM XJJM00 	well water alive	MJM 	XJJM00 	1	1
Genesis 26:21	B>R >XRT 	well other	B>R 	>XRT 	1	1
Genesis 26:22	B>R >XRT 	well other	B>R 	>XRT 	1	1
Genesis 27:1	>T&<#W BNW HGDL 	<object marker> Esau son the great	BNW 	HGDL 	1	1
Genesis 27:9	#NJ GDJJ <ZJM VBJM 	two goat goat good	GDJJ <ZJM 	VBJM 	2	2
Genesis 27:11	>J# #<R 	man hairy	>J# 	#<R 	1	1
Genesis 27:11	>J# XLQ00 	man smooth	>J# 	XLQ00 	1	1
Genesis 27:15	>T&BGDJ <#W BNH HGDL HXMDT 	<object marker> garment Esau son the great the desirables	BNH 	HGDL 	1	1
Genesis 27:15	>T&J<QB BNH HQVN00 	<object marker> Jacob son the small	BNH 	HQVN00 	1	1
Genesis 27:33	XRDH GDLH 	trembling great	XRDH 	GDLH 	1	1
Genesis 27:34	Y<QH GDLH WMRH 	cry great and bitter	Y<QH 	GDLH WMRH 	1	1
Genesis 27:42	>T&DBRJ <#W BNH HGDL 	<object marker> word Esau son the great	BNH 	HGDL 	1	1
Genesis 27:42	LJ<QB BNH HQVN 	to Jacob son the small	BNH 	HQVN 	1	1
Genesis 29:18	BRXL BTK HQVNH00 	in Rachel daughter the small	BTK 	HQVNH00 	1	1
Genesis 29:19	L>J# >XR 	to man other	>J# 	>XR 	1	1
Genesis 29:27	#B<&#NJM >XRWT00 	seven year other	#NJM 	>XRWT00 	1	1
Genesis 29:30	#B<&#NJM >XRWT00 	seven year other	#B<&#NJM 	>XRWT00 	2	2
Genesis 30:7	BN #NJ 	son second	BN 	#NJ 	1	1
Genesis 30:12	BN #NJ 	son second	BN 	#NJ 	1	1
Genesis 30:17	BN XMJ#J00 	son fifth	BN 	XMJ#J00 	1	1
Genesis 30:19	BN&##J 	son sixth	BN&	##J 	1	1
Genesis 30:20	ZBD VWB 	endowment good	ZBD 	VWB 	1	1
Genesis 30:24	BN >XR00 	son other	BN 	>XR00 	1	1
Genesis 30:32	KL&#H NQD WVLW> WKL&#H&XWM BK#BJM WVLW> WNQD B<ZJM 	whole lamb speckled and patch and whole lamb ruttish in the young ram and patch and speckled in the goat	#H 	NQD WVLW> 	1	1
Genesis 30:32	KL&#H NQD WVLW> WKL&#H&XWM BK#BJM WVLW> WNQD B<ZJM 	whole lamb speckled and patch and whole lamb ruttish in the young ram and patch and speckled in the goat	#H&	XWM 	1	1
Genesis 30:35	>T&HTJ#JM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BK#BJM 	<object marker> the he-goat the twisted and the patch and <object marker> whole the goat the speckled and the patch whole and whole ruttish in the young ram	HTJ#JM 	H<QDJM WHVL>JM 	2	1
Genesis 30:35	>T&HTJ#JM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BK#BJM 	<object marker> the he-goat the twisted and the patch and <object marker> whole the goat the speckled and the patch whole and whole ruttish in the young ram	H<ZJM 	HNQDWT WHVL>T 	2	1
Genesis 30:35	>T&HTJ#JM H<QDJM WHVL>JM W>T KL&H<ZJM HNQDWT WHVL>T KL WKL&XWM BK#BJM 	<object marker> the he-goat the twisted and the patch and <object marker> whole the goat the speckled and the patch whole and whole ruttish in the young ram	KL&	XWM 	1	1
Genesis 30:37	PYLWT LBNWT 	peeled stripe white	PYLWT 	LBNWT 	1	1
Genesis 30:39	<QDJM NQDJM WVL>JM00 	twisted speckled and patch	<QDJM 	NQDJM WVL>JM00 	1	0
Genesis 30:41	HY>N HMQ#RWT 	the cattle the tie	HY>N 	HMQ#RWT 	2	1
