passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Deuteronomy 4:34	BMST B>TT WBMWPTJM WBMLXMH WBJD XZQH WBZRW< NVWJH WBMWR>JM GDLJM 	in proving in sign and in sign and in war and in hand strong and in arm extend and in fear great	ZRW< 	NVWJH 	1	1
Deuteronomy 4:34	BMST B>TT WBMWPTJM WBMLXMH WBJD XZQH WBZRW< NVWJH WBMWR>JM GDLJM 	in proving in sign and in sign and in war and in hand strong and in arm extend and in fear great	MWR>JM 	GDLJM 	1	1
Deuteronomy 4:36	>T&>#W HGDWLH 	<object marker> fire the great	>#W 	HGDWLH 	1	1
Deuteronomy 4:37	BKXW HGDL 	in strength the great	KXW 	HGDL 	1	1
Deuteronomy 4:38	GWJM GDLJM W<YMJM MMK 	people great and mighty from	GWJM 	GDLJM W<YMJM 	1	1
Deuteronomy 5:7	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 5:9	>L QN> 	god jealous	>L 	QN> 	1	1
Deuteronomy 5:15	BJD XZQH WBZR< NVWJH 	in hand strong and in arm extend	JD 	XZQH 	1	1
Deuteronomy 5:15	BJD XZQH WBZR< NVWJH 	in hand strong and in arm extend	ZR< 	NVWJH 	1	1
Deuteronomy 5:22	QWL GDWL 	sound great	QWL 	GDWL 	1	1
Deuteronomy 5:25	H># HGDLH HZ>T 	the fire the great the this	H># 	HGDLH 	2	1
Deuteronomy 5:26	QWL >LHJM XJJM 	sound god(s) alive	>LHJM 	XJJM 	1	1
Deuteronomy 6:3	>RY ZBT XLB WDB#00 	earth flow milk and honey	>RY 	ZBT XLB WDB#00 	1	1
Deuteronomy 6:10	>L&H>RY <RJM GDLT WVBT WBTJM WBRT XYWBJM KRMJM WZJTJM 	to the earth town great and good and house and cistern hew vineyard and olive	<RJM 	GDLT WVBT 	1	1
Deuteronomy 6:11	>L&H>RY <RJM GDLT WVBT WBTJM WBRT XYWBJM KRMJM WZJTJM 	to the earth town great and good and house and cistern hew vineyard and olive	BRT 	XYWBJM 	1	1
Deuteronomy 6:14	>XRJ >LHJM >XRJM M>LHJ H<MJM 	after god(s) other from god(s) the people	>LHJM 	>XRJM 	1	1
Deuteronomy 6:15	>L QN> 	god jealous	>L 	QN> 	1	1
Deuteronomy 6:18	>T&H>RY HVBH 	<object marker> the earth the good	H>RY 	HVBH 	2	1
Deuteronomy 6:21	BJD XZQH00 	in hand strong	JD 	XZQH00 	1	1
Deuteronomy 6:22	>WTT WMPTJM GDLJM WR<JM 	sign and sign great and evil	>WTT WMPTJM 	GDLJM WR<JM 	3	2
Deuteronomy 7:1	GWJM&RBJM HXTJ WHGRG#J WH>MRJ WHKN<NJ WHPRZJ WHXWJ WHJBWSJ #B<H GWJM 	people much the Hittite and the Girgashite and the Amorite and the Canaanite and the Perizzite and the Hivite and the Jebusite seven people	GWJM&	RBJM 	1	1
Deuteronomy 7:4	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 7:6	<M QDW# 	people holy	<M 	QDW# 	1	1
Deuteronomy 7:8	BJD XZQH 	in hand strong	JD 	XZQH 	1	1
Deuteronomy 7:9	H>LHJM H>L HN>MN 	the god(s) the god the be firm	H>L 	HN>MN 	2	1
Deuteronomy 7:15	KL&MDWJ MYRJM HR<JM 	whole sickness Egypt the evil	MDWJ MYRJM 	HR<JM 	2	1
Deuteronomy 7:19	HMST HGDLT WH>TT WHMPTJM WHJD HXZQH WHZR< HNVWJH 	the proving the great and the sign and the sign and the hand the strong and the arm the extend	HMST 	HGDLT 	2	1
Deuteronomy 7:19	HMST HGDLT WH>TT WHMPTJM WHJD HXZQH WHZR< HNVWJH 	the proving the great and the sign and the sign and the hand the strong and the arm the extend	HJD 	HXZQH 	2	1
Deuteronomy 7:19	HMST HGDLT WH>TT WHMPTJM WHJD HXZQH WHZR< HNVWJH 	the proving the great and the sign and the sign and the hand the strong and the arm the extend	HZR< 	HNVWJH 	2	1
Deuteronomy 7:21	>L GDWL WNWR>00 	god great and fear	>L 	GDWL WNWR>00 	1	1
Deuteronomy 7:23	MHWMH GDLH 	discomfiture great	MHWMH 	GDLH 	1	1
Deuteronomy 8:7	>L&>RY VWBH >RY NXLJ MJM <JNT WTHMT 	to earth good earth wadi water eye and primeval ocean	>RY 	VWBH 	1	1
Deuteronomy 8:10	<L&H>RY HVBH 	upon the earth the good	H>RY 	HVBH 	2	1
Deuteronomy 8:12	BTJM VWBJM 	house good	BTJM 	VWBJM 	1	1
Deuteronomy 8:15	BMDBR HGDL WHNWR> NX# #RP W<QRB WYM>WN 	in the desert the great and the fear serpent serpent and scorpion and thirsty ground	MDBR 	HGDL WHNWR> 	2	1
Deuteronomy 8:19	>XRJ >LHJM >XRJM 	after god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 9:2	GWJM <RJM <M&GDWL WRM BNJ <NQJM 	people town people great and be high son neck	<M&	GDWL WRM 	1	1
Deuteronomy 9:3	># >KLH 	fire eat	># 	>KLH 	1	1
Deuteronomy 9:6	>T&H>RY HVWBH HZ>T 	<object marker> the earth the good the this	H>RY 	HVWBH 	2	1
Deuteronomy 9:6	<M&Q#H&<RP 	people hard neck	<M&	Q#H&<RP 	1	1
Deuteronomy 9:13	<M&Q#H&<RP 	people hard neck	<M&	Q#H&<RP 	1	1
Deuteronomy 9:26	BJD XZQH00 	in hand strong	JD 	XZQH00 	1	1
Deuteronomy 9:29	BKXK HGDL WBZR<K HNVWJH00 	in strength the great and in arm the extend	KXK 	HGDL 	1	1
Deuteronomy 9:29	BKXK HGDL WBZR<K HNVWJH00 	in strength the great and in arm the extend	ZR<K 	HNVWJH00 	1	1
Deuteronomy 10:2	<L&HLXT HR>#NJM 	upon the tablet the first	HLXT 	HR>#NJM 	2	1
Deuteronomy 10:4	KMKTB HR>#WN 	as the writing the first	MKTB 	HR>#WN 	2	1
Deuteronomy 10:10	KJMJM HR>#NJM 	as the day the first	JMJM 	HR>#NJM 	2	1
Deuteronomy 10:17	>LHJ H>LHJM W>DNJ H>DNJM H>L HGDL HGBR WHNWR> 	god(s) the god(s) and lord the lord the god the great the vigorous and the fear	H>L 	HGDL 	2	1
Deuteronomy 11:2	>T&MWSR JHWH >LHJKM >T&GDLW >T&JDW HXZQH WZR<W HNVWJH00 	<object marker> chastening YHWH god(s) <object marker> greatness <object marker> hand the strong and arm the extend	JDW 	HXZQH 	1	1
Deuteronomy 11:2	>T&MWSR JHWH >LHJKM >T&GDLW >T&JDW HXZQH WZR<W HNVWJH00 	<object marker> chastening YHWH god(s) <object marker> greatness <object marker> hand the strong and arm the extend	ZR<W 	HNVWJH00 	1	1
Deuteronomy 11:7	>T&KL&M<#H JHWH HGDL 	<object marker> whole deed YHWH the great	M<#H JHWH 	HGDL 	2	1
Deuteronomy 11:9	<L&H>DMH >RY ZBT XLB WDB#00 	upon the soil earth flow milk and honey	>RY 	ZBT XLB WDB#00 	1	1
Deuteronomy 11:16	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 11:17	M<L H>RY HVBH 	from upon the earth the good	H>RY 	HVBH 	2	1
Deuteronomy 11:24	MN&HMDBR WHLBNWN MN&HNHR NHR&PRT W<D HJM H>XRWN 	from the desert and the Lebanon from the stream stream Euphrates and unto the sea the at the back	HJM 	H>XRWN 	2	1
Deuteronomy 11:28	>XRJ >LHJM >XRJM 	after god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 12:2	<L&HHRJM HRMJM W<L&HGB<WT WTXT KL&<Y R<NN00 	upon the mountain the be high and upon the hill and under part whole tree luxuriant	HHRJM 	HRMJM 	2	1
Deuteronomy 12:2	<L&HHRJM HRMJM W<L&HGB<WT WTXT KL&<Y R<NN00 	upon the mountain the be high and upon the hill and under part whole tree luxuriant	<Y 	R<NN00 	1	1
Deuteronomy 13:3	>XRJ >LHJM >XRJM 	after god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 13:7	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 13:12	KDBR HR< HZH 	as the word the evil the this	DBR 	HR< 	2	1
Deuteronomy 13:14	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 14:2	<M QDW# 	people holy	<M 	QDW# 	1	1
Deuteronomy 14:7	MM<LJ HGRH WMMPRJSJ HPRSH H#SW<H 	from ascend the cud and from break the hoof the cleave	HPRSH 	H#SW<H 	2	1
Deuteronomy 14:11	KL&YPWR VHRH 	whole bird pure	YPWR 	VHRH 	1	1
Deuteronomy 14:20	KL&<WP VHWR 	whole birds pure	<WP 	VHWR 	1	1
Deuteronomy 14:21	<M QDW# 	people holy	<M 	QDW# 	1	1
Deuteronomy 15:6	GWJM RBJM 	people much	GWJM 	RBJM 	1	1
Deuteronomy 15:6	BGWJM RBJM 	in people much	GWJM 	RBJM 	1	1
Deuteronomy 15:7	M>XJK H>BJWN00 	from brother the poor	>XJK 	H>BJWN00 	1	1
Deuteronomy 15:9	B>XJK H>BJWN 	in brother the poor	>XJK 	H>BJWN 	1	1
Deuteronomy 15:12	B#NH H#BJ<T 	in the year the seventh	#NH 	H#BJ<T 	2	1
Deuteronomy 15:21	MWM PSX >W <WR KL MWM R< 	blemish lame or blind whole blemish evil	MWM 	R< 	1	1
Deuteronomy 16:4	B<RB BJWM HR>#WN 	in the evening in the day the first	JWM 	HR>#WN 	2	1
Deuteronomy 16:8	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Deuteronomy 17:1	MWM KL DBR R< 	blemish whole word evil	DBR 	R< 	1	1
Deuteronomy 17:3	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 17:5	>T&HDBR HR< HZH 	<object marker> the word the evil the this	HDBR 	HR< 	2	1
Deuteronomy 17:9	>L&HKHNJM HLWJM W>L&H#PV 	to the priest the Levite and to the judge	HKHNJM 	HLWJM 	2	1
Deuteronomy 17:15	>J# NKRJ 	man foreign	>J# 	NKRJ 	1	1
Deuteronomy 17:18	MLPNJ HKHNJM HLWJM00 	from to face the priest the Levite	HKHNJM 	HLWJM00 	2	1
Deuteronomy 18:1	LKHNJM HLWJM KL&#BV LWJ 	to the priest the Levite whole rod Levi	KHNJM 	HLWJM 	2	1
Deuteronomy 18:16	>T&H># HGDLH HZ>T 	<object marker> the fire the great the this	H># 	HGDLH 	2	1
Deuteronomy 18:20	B#M >LHJM >XRJM 	in name god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 19:10	DM NQJ 	blood innocent	DM 	NQJ 	1	1
Deuteronomy 19:20	KDBR HR< HZH 	as the word the evil the this	DBR 	HR< 	2	1
Deuteronomy 20:5	BJT&XD# 	house new	BJT&	XD# 	1	1
Deuteronomy 20:5	>J# >XR 	man other	>J# 	>XR 	1	1
Deuteronomy 20:6	>J# >XR 	man other	>J# 	>XR 	1	1
Deuteronomy 20:7	>J# >XR 	man other	>J# 	>XR 	1	1
Deuteronomy 20:8	H>J# HJR> WRK HLBB 	the man the afraid and tender the heart	H>J# 	HJR> WRK HLBB 	2	1
Deuteronomy 20:19	JMJM RBJM 	day much	JMJM 	RBJM 	1	1
Deuteronomy 21:4	>L&NXL >JTN 	to wadi ever-flowing	NXL 	>JTN 	1	1
Deuteronomy 21:8	DM NQJ 	blood innocent	DM 	NQJ 	1	1
Deuteronomy 21:9	HDM HNQJ 	the blood the innocent	HDM 	HNQJ 	2	1
Deuteronomy 21:18	BN SWRR WMWRH 	son rebel and rebel	BN 	SWRR WMWRH 	1	1
Deuteronomy 22:8	BJT XD# 	house new	BJT 	XD# 	1	1
Deuteronomy 22:14	#M R< 	name evil	#M 	R< 	1	1
Deuteronomy 22:19	#M R< 	name evil	#M 	R< 	1	1
Deuteronomy 22:22	<M&>#H B<LT&B<L 	with woman own lord, baal	>#H 	B<LT&B<L 	1	1
Deuteronomy 22:25	>T&HN<RH HM>R#H 	<object marker> the girl the betroth	HN<RH 	HM>R#H 	2	1
Deuteronomy 22:27	HN<RH HM>R#H 	the girl the betroth	HN<RH 	HM>R#H 	2	1
Deuteronomy 23:3	GM DWR <#JRJ LW 	even generation tenth to	DWR 	<#JRJ 	1	1
Deuteronomy 23:4	GM DWR <#JRJ LHM 	even generation tenth to	DWR 	<#JRJ 	1	1
Deuteronomy 23:9	DWR #LJ#J LHM 	generation third to	DWR 	#LJ#J 	1	1
Deuteronomy 23:10	MKL DBR R<00 	from whole word evil	DBR 	R<00 	1	1
Deuteronomy 24:2	L>J#&>XR00 	to man other	>J#&	>XR00 	1	1
Deuteronomy 24:3	H>J# H>XRWN 	the man the at the back	H>J# 	H>XRWN 	2	1
Deuteronomy 24:3	H>J# H>XRWN 	the man the at the back	H>J# 	H>XRWN 	2	1
Deuteronomy 24:4	B<LH HR>#WN 	lord, baal the first	B<LH 	HR>#WN 	1	1
Deuteronomy 24:5	>#H XD#H 	woman new	>#H 	XD#H 	1	1
Deuteronomy 24:8	HKHNJM HLWJM 	the priest the Levite	HKHNJM 	HLWJM 	2	1
Deuteronomy 24:12	>J# <NJ 	man humble	>J# 	<NJ 	1	1
Deuteronomy 24:14	#KJR <NJ W>BJWN M>XJK >W MGRK 	hired humble and poor from brother or from sojourner	#KJR 	<NJ W>BJWN 	1	0
Deuteronomy 25:3	MKH RBH 	blow much	MKH 	RBH 	1	1
Deuteronomy 25:5	L>J# ZR 	to man strange	>J# 	ZR 	1	1
Deuteronomy 25:6	<L&#M >XJW HMT 	upon name brother the die	>XJW 	HMT 	1	1
Deuteronomy 25:15	>BN #LMH WYDQ 	stone complete and justice	>BN 	#LMH 	1	1
Deuteronomy 25:15	>JPH #LMH WYDQ 	ephah complete and justice	>JPH 	#LMH 	1	1
Deuteronomy 26:5	>RMJ >BD 	Aramean perish	>RMJ 	>BD 	1	0
Deuteronomy 26:5	LGWJ GDWL <YWM WRB00 	to people great mighty and much	GWJ 	GDWL <YWM WRB00 	1	1
Deuteronomy 26:6	<BDH Q#H00 	work hard	<BDH 	Q#H00 	1	1
Deuteronomy 26:8	BJD XZQH WBZR< NVWJH WBMR> GDL WB>TWT WBMPTJM00 	in hand strong and in arm extend and in fear great and in sign and in sign	JD 	XZQH 	1	1
Deuteronomy 26:8	BJD XZQH WBZR< NVWJH WBMR> GDL WB>TWT WBMPTJM00 	in hand strong and in arm extend and in fear great and in sign and in sign	ZR< 	NVWJH 	1	1
Deuteronomy 26:8	BJD XZQH WBZR< NVWJH WBMR> GDL WB>TWT WBMPTJM00 	in hand strong and in arm extend and in fear great and in sign and in sign	MR> 	GDL 	1	1
Deuteronomy 26:9	>T&H>RY HZ>T >RY ZBT XLB WDB#00 	<object marker> the earth the this earth flow milk and honey	>RY 	ZBT XLB WDB#00 	1	1
Deuteronomy 26:12	B#NH H#LJ#T #NT HM<#R 	in the year the third year the tenth	#NH 	H#LJ#T 	2	1
Deuteronomy 26:15	>T&<MK >T&J#R>L W>T H>DMH >RY ZBT XLB WDB#00 	<object marker> people <object marker> Israel and <object marker> the soil earth flow milk and honey	>RY 	ZBT XLB WDB#00 	1	1
Deuteronomy 26:19	<M&QD# 	people holy	<M&	QD# 	1	1
Deuteronomy 27:2	>BNJM GDLWT 	stone great	>BNJM 	GDLWT 	1	1
Deuteronomy 27:3	>L&H>RY >RY ZBT XLB WDB# 	to the earth earth flow milk and honey	>RY 	ZBT XLB WDB# 	1	1
Deuteronomy 27:6	>BNJM #LMWT 	stone complete	>BNJM 	#LMWT 	1	1
Deuteronomy 27:9	M#H WHKHNJM HLWJM 	Moses and the priest the Levite	HKHNJM 	HLWJM 	2	1
Deuteronomy 27:14	QWL RM00 	sound be high	QWL 	RM00 	1	1
Deuteronomy 27:25	NP# DM NQJ 	soul blood innocent	DM 	NQJ 	1	1
Deuteronomy 28:9	L<M QDW# 	to people holy	<M 	QDW# 	1	1
Deuteronomy 28:12	>T&>WYRW HVWB >T&H#MJM 	<object marker> supply the good <object marker> the heavens	>WYRW 	HVWB 	1	1
Deuteronomy 28:12	GWJM RBJM 	people much	GWJM 	RBJM 	1	1
Deuteronomy 28:14	>XRJ >LHJM >XRJM 	after god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 28:30	>J# >XR 	man other	>J# 	>XR 	1	1
Deuteronomy 28:32	L<M >XR 	to people other	<M 	>XR 	1	1
Deuteronomy 28:35	B#XJN R< 	in boil evil	#XJN 	R< 	1	1
Deuteronomy 28:36	>LHJM >XRJM <Y W>BN00 	god(s) other tree and stone	>LHJM 	>XRJM 	1	1
Deuteronomy 28:38	ZR< RB 	seed much	ZR< 	RB 	1	1
Deuteronomy 28:50	GWJ <Z PNJM 	people strong face	GWJ 	<Z PNJM 	1	1
Deuteronomy 28:58	>T&H#M HNKBD WHNWR> HZH >T JHWH >LHJK00 	<object marker> the name the be heavy and the fear the this <object marker> YHWH god(s)	H#M 	HNKBD WHNWR> 	2	1
Deuteronomy 28:59	>T&MKTK W>T MKWT ZR<K MKWT GDLWT WN>MNWT WXLJM R<JM WN>MNJM00 	<object marker> blow and <object marker> blow seed blow great and be firm and sickness evil and be firm	MKWT 	GDLWT WN>MNWT 	1	1
Deuteronomy 28:59	>T&MKTK W>T MKWT ZR<K MKWT GDLWT WN>MNWT WXLJM R<JM WN>MNJM00 	<object marker> blow and <object marker> blow seed blow great and be firm and sickness evil and be firm	XLJM 	R<JM WN>MNJM00 	1	1
Deuteronomy 28:64	>LHJM >XRJM 	god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 28:65	LB RGZ WKLJWN <JNJM WD>BWN NP#00 	heart excited and annihilation eye and despair soul	LB 	RGZ 	1	1
Deuteronomy 29:2	HMSWT HGDLT H>TT WHMPTJM HGDLJM HHM00 	the proving the great the sign and the sign the great the they	HMSWT 	HGDLT 	2	1
Deuteronomy 29:2	HMSWT HGDLT H>TT WHMPTJM HGDLJM HHM00 	the proving the great the sign and the sign the great the they	HMPTJM 	HGDLJM 	2	1
Deuteronomy 29:21	HDWR H>XRWN BNJKM WHNKRJ 	the generation the at the back son and the foreign	HDWR 	H>XRWN 	2	1
Deuteronomy 29:21	M>RY RXWQH 	from earth remote	>RY 	RXWQH 	1	1
Deuteronomy 29:23	XRJ H>P HGDWL HZH00 	heat the nose the great the this	H>P 	HGDWL 	2	1
Deuteronomy 29:25	>LHJM >XRJM >LHJM 	god(s) other god(s)	>LHJM 	>XRJM 	1	1
Deuteronomy 29:27	B>P WBXMH WBQYP GDWL 	in nose and in heat and in anger great	QYP 	GDWL 	1	1
Deuteronomy 29:27	>L&>RY >XRT 	to earth other	>RY 	>XRT 	1	1
Deuteronomy 30:17	L>LHJM >XRJM 	to god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 31:17	R<WT RBWT WYRWT 	evil much and distress	R<WT 	RBWT 	1	1
Deuteronomy 31:18	>L&>LHJM >XRJM00 	to god(s) other	>LHJM 	>XRJM00 	1	1
Deuteronomy 31:20	>L&>LHJM >XRJM 	to god(s) other	>LHJM 	>XRJM 	1	1
Deuteronomy 31:21	R<WT RBWT WYRWT 	evil much and distress	R<WT 	RBWT 	1	1
Deuteronomy 31:27	>T&MRJK W>T&<RPK HQ#H 	<object marker> rebellion and <object marker> neck the hard	<RPK 	HQ#H 	1	1
Deuteronomy 32:5	DWR <Q# WPTLTL00 	generation crooked and queer	DWR 	<Q# WPTLTL00 	1	1
Deuteronomy 32:6	<M NBL WL> XKM 	people stupid and not wise	<M 	NBL WL> XKM 	1	1
Deuteronomy 32:21	BGWJ NBL 	in people stupid	GWJ 	NBL 	1	1
Deuteronomy 32:22	<D&#>WL TXTJT 	unto nether world lower	#>WL 	TXTJT 	1	1
Deuteronomy 32:24	LXMJ R#P WQVB MRJRJ 	feed flame and sting bitter	QVB 	MRJRJ 	1	1
Deuteronomy 32:28	GWJ >BD <YWT 	people perish counsel	GWJ 	>BD <YWT 	1	1
Deuteronomy 32:32	>#KLT MRRT 	grape bitter	>#KLT 	MRRT 	1	1
Deuteronomy 32:33	R># PTNJM >KZR00 	poison cobra cruel	PTNJM 	>KZR00 	1	1
Deuteronomy 32:47	DBR RQ 	word empty	DBR 	RQ 	1	1
Deuteronomy 33:21	XLQT MXQQ SPWN 	plot of land engrave cover	MXQQ 	SPWN 	1	0
Deuteronomy 34:2	>T KL&NPTLJ W>T&>RY >PRJM WMN#H W>T KL&>RY JHWDH <D HJM H>XRWN00 	<object marker> whole Naphtali and <object marker> earth Ephraim and Manasseh and <object marker> whole earth Judah unto the sea the at the back	HJM 	H>XRWN00 	2	1
Deuteronomy 34:12	LKL&H>TWT WHMWPTJM WLKL HJD HXZQH WLKL HMWR> HGDWL 	to whole the sign and the sign and to whole the hand the strong and to whole the fear the great	HJD 	HXZQH 	2	1
Deuteronomy 34:12	LKL&H>TWT WHMWPTJM WLKL HJD HXZQH WLKL HMWR> HGDWL 	to whole the sign and the sign and to whole the hand the strong and to whole the fear the great	HMWR> 	HGDWL 	2	1
Joshua 1:4	MHMDBR WHLBNWN HZH W<D&HNHR HGDWL NHR&PRT KL >RY HXTJM W<D&HJM HGDWL MBW> H#M# 	from the desert and the Lebanon the this and unto the stream the great stream Euphrates whole earth the Hittite and unto the sea the great entrance the sun	HNHR 	HGDWL 	2	1
Joshua 1:4	MHMDBR WHLBNWN HZH W<D&HNHR HGDWL NHR&PRT KL >RY HXTJM W<D&HJM HGDWL MBW> H#M# 	from the desert and the Lebanon the this and unto the stream the great stream Euphrates whole earth the Hittite and unto the sea the great entrance the sun	HJM 	HGDWL 	2	1
Joshua 2:1	BJT&>#H ZWNH 	house woman fornicate	>#H 	ZWNH 	1	1
Joshua 3:3	>T >RWN BRJT&JHWH >LHJKM WHKHNJM HLWJM 	<object marker> ark covenant YHWH god(s) and the priest the Levite	HKHNJM 	HLWJM 	2	1
Joshua 3:10	>L XJ 	god alive	>L 	XJ 	1	1
Joshua 4:19	B<#WR LXD# HR>#WN 	in the a ten to the month the first	XD# 	HR>#WN 	2	1
Joshua 5:6	>T&H>RY >RY ZBT XLB WDB#00 	<object marker> the earth earth flow milk and honey	>RY 	ZBT XLB WDB#00 	1	1
Joshua 6:4	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Joshua 6:5	TRW<H GDWLH 	shouting great	TRW<H 	GDWLH 	1	1
Joshua 6:14	BJWM H#NJ 	in the day the second	JWM 	H#NJ 	2	1
Joshua 6:15	BJWM H#BJ<J 	in the day the seventh	JWM 	H#BJ<J 	2	1
Joshua 6:16	BP<M H#BJ<JT 	in the foot the seventh	P<M 	H#BJ<JT 	2	1
Joshua 6:20	TRW<H GDWLH 	shouting great	TRW<H 	GDWLH 	1	1
Joshua 6:22	BJT&H>#H HZWNH 	house the woman the fornicate	H>#H 	HZWNH 	2	1
Joshua 7:9	L#MK HGDWL00 	to name the great	#MK 	HGDWL00 	1	1
Joshua 7:21	>DRT #N<R >XT VWBH WM>TJM #QLJM KSP WL#WN ZHB >XD 	splendour Shinar one good and hundred shekel silver and tongue gold one	>DRT #N<R >XT 	VWBH 	3	2
Joshua 7:26	GL&>BNJM GDWL 	heap stone great	GL&>BNJM 	GDWL 	2	2
Joshua 8:29	GL&>BNJM GDWL 	heap stone great	GL&>BNJM 	GDWL 	2	2
Joshua 8:31	MZBX >BNJM #LMWT 	altar stone complete	>BNJM 	#LMWT 	1	1
Joshua 8:33	MZH WMZH L>RWN NGD HKHNJM HLWJM N#>J >RWN BRJT&JHWH 	from this and from this to the ark counterpart the priest the Levite lift ark covenant YHWH	HKHNJM 	HLWJM 	2	1
Joshua 9:4	#QJM BLJM WN>DWT JJN BLJM WMBQ<JM WMYRRJM00 	sack worn out and skin-bottle wine worn out and split and wrap, be narrow	#QJM 	BLJM 	1	1
Joshua 9:4	#QJM BLJM WN>DWT JJN BLJM WMBQ<JM WMYRRJM00 	sack worn out and skin-bottle wine worn out and split and wrap, be narrow	N>DWT JJN 	BLJM WMBQ<JM WMYRRJM00 	2	2
Joshua 9:5	N<LWT BLWT WMVL>WT 	sandal worn out and patch	N<LWT 	BLWT WMVL>WT 	1	1
Joshua 9:5	#LMWT BLWT 	wrapper worn out	#LMWT 	BLWT 	1	1
Joshua 9:6	M>RY RXWQH 	from earth remote	>RY 	RXWQH 	1	1
Joshua 9:9	M>RY RXWQH M>D 	from earth remote might	>RY 	RXWQH M>D 	1	1
Joshua 9:17	BJWM H#LJ#J 	in the day the third	JWM 	H#LJ#J 	2	1
Joshua 10:2	<JR GDWLH 	town great	<JR 	GDWLH 	1	1
Joshua 10:10	MKH&GDWLH 	blow great	MKH&	GDWLH 	1	1
Joshua 10:11	>BNJM GDLWT 	stone great	>BNJM 	GDLWT 	1	1
Joshua 10:13	KJWM TMJM00 	as day complete	JWM 	TMJM00 	1	1
Joshua 10:18	>BNJM GDLWT 	stone great	>BNJM 	GDLWT 	1	1
Joshua 10:20	MKH GDWLH&M>D 	blow great might	MKH 	GDWLH&M>D 	1	1
Joshua 10:27	>BNJM GDLWT 	stone great	>BNJM 	GDLWT 	1	1
Joshua 10:32	BJWM H#NJ 	in the day the second	JWM 	H#NJ 	2	1
Joshua 11:4	HM WKL&MXNJHM <MM <M&RB KXWL 	they and whole camp with people much as the sand	<M&	RB 	1	1
Joshua 11:4	SWS WRKB RB&M>D00 	horse and chariot much might	SWS WRKB 	RB&M>D00 	3	2
Joshua 11:8	<D&YJDWN RBH W<D M#RPWT MJM W<D&BQ<T MYPH MZRXH 	unto Sidon much and unto Misrephoth Maim and unto valley Mizpeh sunrise	YJDWN 	RBH 	1	0
Joshua 11:17	MN&HHR HXLQ W<D&B<L GD BBQ<T HLBNWN TXT HR&XRMWN 	from the mountain the smooth and unto Baal Gad in valley the Lebanon under part mountain Hermon	HHR 	HXLQ 	2	1
Joshua 11:18	JMJM RBJM 	day much	JMJM 	RBJM 	1	1
Joshua 12:7	B<BR HJRDN JMH MB<L GD BBQ<T HLBNWN W<D&HHR HXLQ 	in opposite the Jordan sea from Baal Gad in valley the Lebanon and unto the mountain the smooth	HHR 	HXLQ 	2	1
Joshua 13:5	H>RY HGBLJ WKL&HLBNWN MZRX H#M# 	the earth the Gebalite and whole the Lebanon sunrise the sun	H>RY 	HGBLJ 	2	1
Joshua 14:12	<RJM GDLWT BYRWT 	town great fortified	<RJM 	GDLWT BYRWT 	1	1
Joshua 14:15	H>DM HGDWL 	the human, mankind the great	H>DM 	HGDWL 	2	1
Joshua 15:12	HJMH HGDWL 	the sea the great	HJMH 	HGDWL 	2	1
Joshua 15:19	>T GLT <LJWT W>T GLT TXTJWT00 	<object marker> basin upper and <object marker> basin lower	GLT 	<LJWT 	1	1
Joshua 15:19	>T GLT <LJWT W>T GLT TXTJWT00 	<object marker> basin upper and <object marker> basin lower	GLT 	TXTJWT00 	1	1
Joshua 15:47	<D&NXL MYRJM WHJM HGDWL WGBWL00 	unto wadi Egypt and the sea the great and boundary	HJM 	HGDWL 	2	1
Joshua 16:10	LMS&<BD00 	to forced labour work, serve	MS&	<BD00 	1	1
Joshua 17:2	LBNJ MN#H HNWTRJM LM#PXTM LBNJ >BJ<ZR WLBNJ&XLQ WLBNJ >#RJ>L WLBNJ&#KM WLBNJ&XPR WLBNJ #MJD< 	to son Manasseh the remain to clan to son Abiezer and to son Helek and to son Asriel and to son Shechem and to son <son of Gilead> and to son Shemida	BNJ MN#H 	HNWTRJM 	2	1
Joshua 17:6	LBNJ&MN#H HNWTRJM00 	to son Manasseh the remain	BNJ&MN#H 	HNWTRJM00 	2	1
Joshua 17:14	<M&RB 	people much	<M&	RB 	1	1
Joshua 17:15	<M&RB 	people much	<M&	RB 	1	1
Joshua 17:17	<M&RB 	people much	<M&	RB 	1	1
