passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 3:3	605816	אֱלֹהִ֗ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	1221
Genesis 3:5	605835	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	1243
Genesis 3:5	605845	כֵּֽאלֹהִ֔ים 	as god(s)	PreC	>LHJM/	אלֹהִ֔ים 	1255
Genesis 3:8	605891	אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים 	<object marker> sound YHWH god(s)	Objc	>LHJM/	אֱלֹהִ֛ים 	1319
Genesis 3:8	605898	מִפְּנֵי֙ יְהוָ֣ה אֱלֹהִ֔ים 	from face YHWH god(s)	Cmpl	>LHJM/	אֱלֹהִ֔ים 	1337
Genesis 3:9	605902	יְהוָ֥ה אֱלֹהִ֖ים 	YHWH god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	1346
Genesis 3:13	605950	יְהוָ֧ה אֱלֹהִ֛ים 	YHWH god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	1408
Genesis 3:14	605963	יְהֹוָ֨ה אֱלֹהִ֥ים ׀ 	YHWH god(s)	Subj	>LHJM/	אֱלֹהִ֥ים ׀ 	1427
Genesis 3:21	606056	יְהוָ֨ה אֱלֹהִ֜ים 	YHWH god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	1577
Genesis 3:22	606063	יְהוָ֣ה אֱלֹהִ֗ים 	YHWH god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	1590
Genesis 3:23	606085	יְהוָ֥ה אֱלֹהִ֖ים 	YHWH god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	1624
Genesis 4:25	606394	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	2092
Genesis 5:1	606415	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	2126
Genesis 5:1	606417	בִּדְמ֥וּת אֱלֹהִ֖ים 	in likeness god(s)	Adju	>LHJM/	אֱלֹהִ֖ים 	2130
Genesis 5:22	606580	אֶת־הָֽאֱלֹהִ֗ים 	together with the god(s)	Cmpl	>LHJM/	אֱלֹהִ֗ים 	2427
Genesis 5:24	606594	אֶת־הָֽאֱלֹהִ֑ים 	together with the god(s)	Cmpl	>LHJM/	אֱלֹהִ֑ים 	2458
Genesis 5:24	606600	אֱלֹהִֽים׃ פ  	god(s)	Subj	>LHJM/	אֱלֹהִֽים׃ פ  	2464
Genesis 6:2	606678	בְנֵי־הָֽאֱלֹהִים֙ 	son the god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	2620
Genesis 6:4	606714	בְּנֵ֤י הָֽאֱלֹהִים֙ 	son the god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	2678
Genesis 6:9	606770	אֶת־הָֽאֱלֹהִ֖ים 	together with the god(s)	Cmpl	>LHJM/	אֱלֹהִ֖ים 	2779
Genesis 6:11	606780	לִפְנֵ֣י הָֽאֱלֹהִ֑ים 	to face the god(s)	Adju	>LHJM/	אֱלֹהִ֑ים 	2801
