clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489264,5,12,789262,KL,_,_,_,_,_,_,_,_
489265,5,12,_,_,_,_,_,_,789264,BK,_,_
489267,5,12,_,_,_,_,_,_,789269,<LJMW,_,_
489268,5,12,789273,>HBJ_CMK,_,_,_,_,789272,BK,_,_
489269,5,13,789275,>TH,789277,YDJQ,_,_,_,_,_,_
489271,5,13,_,_,789280,RYWN,_,_,_,_,_,_
489281,6,3,789298,>NJ,_,_,_,_,_,_,_,_
489284,6,3,789303,<YMJ,_,_,_,_,_,_,_,_
489285,6,4,789305,NPCJ,_,_,_,_,_,_,_,_
489286,6,4,789309,>T,_,_,_,_,_,_,_,_
489290,6,5,_,_,789315,NPCJ,_,_,_,_,_,_
489292,6,6,789321,ZKRK,_,_,_,_,_,_,_,_
489294,6,6,789323,MJ,_,_,_,_,789325,LK,_,_
489295,6,7,_,_,_,_,_,_,789327,B_>NXTJ,_,_
489296,6,7,_,_,789330,MVTJ,_,_,_,_,_,_
489297,6,7,_,_,789332,<RFJ,_,_,_,_,_,_
489298,6,8,789336,<JNJ,_,_,_,_,_,_,_,_
489300,6,9,_,_,_,_,_,_,789340,MMNJ,_,_
489302,6,9,789344,JHWH,789345,QWL_BKJJ,_,_,_,_,_,_
489303,6,10,789347,JHWH,789348,TXNTJ,_,_,_,_,_,_
489304,6,10,789349,JHWH,789350,TPLTJ,_,_,_,_,_,_
489306,6,11,789356,KL_>JBJ,_,_,_,_,_,_,_,_
489310,7,1,_,_,_,_,_,_,789363,L_JHWH,_,_
489312,7,2,_,_,_,_,_,_,789366,BK,_,_
489313,7,2,_,_,_,_,_,_,789369,M_KL_RDPJ,_,_
489315,7,3,_,_,789375,NPCJ,_,_,_,_,_,_
489319,7,4,_,_,789383,Z>T,_,_,_,_,_,_
489320,7,4,789386,<WL,_,_,_,_,_,_,_,_
489321,7,5,_,_,789390,CWLMJ,789391,R<,_,_,_,_
489324,7,6,789397,>WJB,789398,NPCJ,_,_,_,_,_,_
489326,7,6,_,_,789404,XJJ,_,_,789403,L__>RY,_,_
489327,7,6,_,_,789406,KBWDJ,_,_,789407,L__<PR,_,_
489331,7,7,_,_,_,_,_,_,789414,B_<BRWT_YWRRJ,_,_
489332,7,7,_,_,_,_,_,_,789417,>LJ,_,_
489333,7,7,_,_,789418,MCPV,_,_,_,_,_,_
489334,7,8,789421,<DT_L>MJM,_,_,_,_,_,_,_,_
489335,7,8,_,_,_,_,_,_,789424,<LJH,_,_
489336,7,9,789427,JHWH,789429,<MJM,_,_,_,_,_,_
489339,7,10,789435,R<_RC<JM,_,_,_,_,_,_,_,_
489340,7,10,_,_,789438,YDJQ,_,_,_,_,_,_
489341,7,10,789442,>LHJM_YDJQ,789441,LBWT_W_KLJWT,_,_,_,_,_,_
489342,7,11,789443,MGNJ,_,_,_,_,_,_,_,_
489343,7,11,_,_,789446,JCRJ_LB,_,_,_,_,_,_
489344,7,12,789447,>LHJM,_,_,_,_,_,_,_,_
489348,7,13,_,_,789456,XRBW,_,_,_,_,_,_
489349,7,13,_,_,789458,QCTW,_,_,_,_,_,_
489351,7,14,_,_,789465,KLJ_MWT,_,_,_,_,_,_
489352,7,14,_,_,789466,XYJW,_,_,789467,L_DLQJM,_,_
489353,7,15,_,_,789471,>WN,_,_,_,_,_,_
489354,7,15,_,_,789474,<ML,_,_,_,_,_,_
489355,7,15,_,_,789477,CQR,_,_,_,_,_,_
489356,7,16,_,_,789478,BWR,_,_,_,_,_,_
489360,7,17,789487,<MLW,_,_,_,_,789488,B_R>CW,_,_
489361,7,17,789491,XMSW,_,_,_,_,789490,<L_QDQDW,_,_
489362,7,18,_,_,789494,JHWH,_,_,_,_,_,_
489363,7,18,_,_,789498,CM_JHWH_<LJWN,_,_,_,_,_,_
489368,8,2,789505,CMK,_,_,_,_,_,_,_,_
