clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
490781,37,7,_,_,_,_,_,_,792898,B_>JC,_,_
490782,37,7,_,_,792900,MZMWT,_,_,_,_,_,_
490783,37,8,_,_,_,_,_,_,792902,M_>P,_,_
490784,37,8,_,_,792905,XMH,_,_,_,_,_,_
490787,37,9,792911,MR<JM,_,_,_,_,_,_,_,_
490789,37,9,792915,HMH,792917,>RY,_,_,_,_,_,_
490792,37,10,_,_,_,_,_,_,792925,<L_MQWMW,_,_
490794,37,11,792929,<NWJM,792931,>RY,_,_,_,_,_,_
490795,37,11,_,_,_,_,_,_,792934,<L_RB_CLWM,_,_
490796,37,12,792936,RC<,_,_,_,_,792937,L__YDJQ,_,_
490797,37,12,_,_,792941,CNJW,_,_,792940,<LJW,_,_
490798,37,13,792942,>DNJ,_,_,_,_,792944,LW,_,_
490800,37,13,792949,JWMW,_,_,_,_,_,_,_,_
490801,37,14,792952,RC<JM,792950,XRB,_,_,_,_,_,_
490802,37,14,_,_,792955,QCTM,_,_,_,_,_,_
490803,37,14,_,_,792957,<NJ_W_>BJWN,_,_,_,_,_,_
490804,37,14,_,_,792959,JCRJ_DRK,_,_,_,_,_,_
490805,37,15,792960,XRBM,_,_,_,_,792962,B_LBM,_,_
490806,37,15,792964,QCTWTM,_,_,_,_,_,_,_,_
490807,37,16,792967,M<V_L__YDJQ,_,_,_,_,_,_,_,_
490808,37,17,792970,ZRW<WT_RC<JM,_,_,_,_,_,_,_,_
490809,37,17,792975,JHWH,792974,YDJQJM,_,_,_,_,_,_
490810,37,18,792977,JHWH,792978,JMJ_TMJMM,_,_,_,_,_,_
490811,37,18,792980,NXLTM,_,_,_,_,_,_,_,_
490814,37,20,792990,RC<JM,_,_,_,_,_,_,_,_
490815,37,20,792993,>JBJ_JHWH,_,_,_,_,_,_,_,_
490817,37,21,792999,RC<,_,_,_,_,_,_,_,_
490819,37,21,793004,YDJQ,_,_,_,_,_,_,_,_
490821,37,22,793009,MBRKJW,793011,>RY,_,_,_,_,_,_
490822,37,22,793013,MQLLJW,_,_,_,_,_,_,_,_
490823,37,23,793016,MY<DJ_GBR,_,_,_,_,_,_,_,_
490824,37,23,_,_,793019,DRKW,_,_,_,_,_,_
490827,37,24,793026,JHWH,793028,JDW,_,_,_,_,_,_
490831,37,25,793036,YDJQ,_,_,_,_,_,_,_,_
490832,37,25,793039,ZR<W,793041,LXM,_,_,_,_,_,_
490835,37,26,793047,ZR<W,_,_,_,_,_,_,_,_
490836,37,27,_,_,_,_,_,_,793050,M_R<,_,_
490837,37,27,_,_,793053,VWB,_,_,_,_,_,_
490839,37,28,793058,JHWH,793060,MCPV,_,_,_,_,_,_
490840,37,28,_,_,793064,>T_XSJDJW,_,_,_,_,_,_
490842,37,28,793068,ZR<_RC<JM,_,_,_,_,_,_,_,_
490843,37,29,793070,YDJQJM,793072,>RY,_,_,_,_,_,_
490844,37,29,_,_,_,_,_,_,793076,<LJH,_,_
490845,37,30,793077,PJ_YDJQ,793079,XKMH,_,_,_,_,_,_
490846,37,30,793081,LCWNW,793083,MCPV,_,_,_,_,_,_
490847,37,31,793084,TWRT_>LHJW,_,_,_,_,_,_,_,_
490848,37,31,793088,>CRJW,_,_,_,_,_,_,_,_
490849,37,32,793090,RC<,_,_,_,_,793091,L__YDJQ,_,_
490852,37,33,793095,JHWH,_,_,_,_,793098,B_JDW,_,_
490855,37,34,_,_,_,_,_,_,793104,>L_JHWH,_,_
490856,37,34,_,_,793107,DRKW,_,_,_,_,_,_
490858,37,34,_,_,793111,>RY,_,_,_,_,_,_
490859,37,34,793113,RC<JM,_,_,_,_,_,_,_,_
490861,37,35,_,_,793116,RC<,_,_,_,_,_,_
490868,37,37,_,_,793132,TM,_,_,_,_,_,_
490869,37,37,_,_,793135,JCR,_,_,_,_,_,_
490870,37,37,793137,>XRJT,_,_,_,_,_,_,_,_
490871,37,38,793140,PC<JM,_,_,_,_,_,_,_,_
490872,37,38,793143,>XRJT_RC<JM,_,_,_,_,_,_,_,_
490873,37,39,793146,TCW<T_YDJQJM,_,_,_,_,_,_,_,_
490875,37,40,793152,JHWH,_,_,_,_,_,_,_,_
490877,37,40,_,_,_,_,_,_,793156,M_RC<JM,_,_
490879,37,40,_,_,_,_,_,_,793161,BW,_,_
490885,38,3,793172,XYJK,_,_,_,_,793174,BJ,_,_
490886,38,3,793178,JDK,_,_,_,_,793177,<LJ,_,_
490887,38,4,793180,MTM,_,_,_,_,_,_,_,_
490888,38,4,793184,CLWM,_,_,_,_,_,_,_,_
490889,38,5,793188,<WNTJ,793190,R>CJ,_,_,_,_,_,_
490892,38,6,793196,XBWRTJ,_,_,_,_,_,_,_,_
490896,38,8,793205,KSLJ,793207,NQLH,_,_,_,_,_,_
490897,38,8,793210,MTM,_,_,_,_,_,_,_,_
490902,38,10,793220,KL_T>WTJ,_,_,_,_,_,_,_,_
490903,38,10,793222,>NXTJ,_,_,_,_,793223,MMK,_,_
490904,38,11,793226,LBJ,_,_,_,_,_,_,_,_
490905,38,11,793229,KXJ,_,_,_,_,_,_,_,_
490907,38,11,793232,GM_HM,_,_,_,_,_,_,_,_
490908,38,12,793235,>HBJ_W_R<J,_,_,_,_,793236,M_NGD_NG<J,_,_
490909,38,12,793239,QRWBJ,_,_,_,_,793240,M_RXQ,_,_
490911,38,13,_,_,793245,NPCJ,_,_,_,_,_,_
490912,38,13,_,_,793250,HWWT,_,_,_,_,_,_
490913,38,13,_,_,793248,R<TJ,_,_,_,_,_,_
490914,38,13,_,_,793252,MRMWT,_,_,_,_,_,_
490915,38,14,793256,>NJ,_,_,_,_,_,_,_,_
490918,38,14,_,_,793264,PJW,_,_,_,_,_,_
490921,38,15,793274,TWKXWT,_,_,_,_,_,_,_,_
490922,38,16,_,_,_,_,_,_,793276,LK,_,_
490924,38,16,793279,>TH,_,_,_,_,_,_,_,_
490927,38,17,_,_,_,_,_,_,793286,LJ,_,_
490928,38,17,793288,RGLJ,_,_,_,_,_,_,_,_
490929,38,17,_,_,_,_,_,_,793289,<LJ,_,_
490930,38,18,793292,>NJ,_,_,_,_,793293,L_YL<,_,_
490931,38,18,793296,MK>WBJ,_,_,_,_,_,_,_,_
490932,38,19,_,_,793300,<WNJ,_,_,_,_,_,_
490933,38,19,_,_,_,_,_,_,793303,M_XV>TJ,_,_
490934,38,20,793305,>JBJ,_,_,_,_,_,_,_,_
490939,38,21,_,_,793314,R<H,_,_,_,_,_,_
490940,38,21,_,_,793318,VWB,_,_,_,_,_,_
490943,38,22,_,_,_,_,_,_,793324,MMNJ,_,_
490944,38,23,_,_,_,_,_,_,793326,L_<ZRTJ,_,_
490949,39,2,_,_,793333,DRKJ,_,_,_,_,_,_
490951,39,2,_,_,793338,MXSWM,_,_,793337,L_PJ,_,_
490952,39,2,793340,RC<,_,_,_,_,_,_,_,_
490955,39,3,793347,K>BJ,_,_,_,_,_,_,_,_
490956,39,4,793350,LBJ,_,_,_,_,_,_,_,_
490957,39,4,793354,>C,_,_,_,_,_,_,_,_
490959,39,5,_,_,793359,QYJ,_,_,_,_,_,_
490962,39,5,793363,HJ>,_,_,_,_,_,_,_,_
490964,39,5,793367,>NJ,_,_,_,_,_,_,_,_
490965,39,6,_,_,793369,VPXWT,793371,JMJ,_,_,_,_
490966,39,6,793373,XLDJ,_,_,_,_,_,_,_,_
490967,39,6,793378,KL_>DM_NYB,_,_,_,_,_,_,_,_
490969,39,7,793382,>JC,_,_,_,_,793380,>K_B_YLM,_,_
490973,39,7,793389,MJ,_,_,_,_,_,_,_,_
490975,39,8,_,_,793393,MH,_,_,_,_,_,_
490978,39,8,793398,HJ>,_,_,_,_,_,_,_,_
490979,39,9,_,_,_,_,_,_,793399,M_KL_PC<J,_,_
490980,39,9,_,_,793401,XRPT_NBL,_,_,_,_,_,_
490982,39,10,_,_,793407,PJ,_,_,_,_,_,_
490983,39,10,793409,>TH,_,_,_,_,_,_,_,_
490984,39,11,_,_,793413,NG<K,_,_,793412,M_<LJ,_,_
490985,39,11,793415,>NJ,_,_,_,_,_,_,_,_
490986,39,12,_,_,793420,>JC,_,_,793418,<L_<WN,_,_
490987,39,12,_,_,793424,XMWDW,_,_,_,_,_,_
490988,39,12,793427,KL_>DM,_,_,_,_,_,_,_,_
490990,39,13,_,_,793430,TPLTJ,_,_,_,_,_,_
490992,39,13,_,_,793433,CW<TJ,_,_,_,_,_,_
490993,39,13,_,_,_,_,_,_,793435,>L_DM<TJ,_,_
490994,39,13,793440,>NKJ,_,_,_,_,_,_,_,_
490996,39,14,_,_,_,_,_,_,793445,MMNJ,_,_
491003,40,2,_,_,793457,JHWH,_,_,_,_,_,_
491004,40,2,_,_,_,_,_,_,793460,>LJ,_,_
491005,40,2,_,_,793463,CW<TJ,_,_,_,_,_,_
491006,40,3,_,_,_,_,_,_,793466,M_BWR_C>WN_M_VJV_H_JWN,_,_
491007,40,3,_,_,793470,RGLJ,_,_,793469,<L_SL<,_,_
491008,40,3,_,_,793472,>CRJ,_,_,_,_,_,_
491009,40,4,_,_,793476,CJR_XDC,_,_,793475,B_PJ,_,_
491010,40,4,_,_,793477,THLH_L_>LHJNW,_,_,_,_,_,_
491011,40,4,793479,RBJM,_,_,_,_,_,_,_,_
491013,40,4,_,_,_,_,_,_,793484,B_JHWH,_,_
491015,40,5,_,_,793488,JHWH,793489,MBVXW,_,_,_,_
491016,40,5,_,_,_,_,_,_,793493,>L_RHBJM_W_FVJ_KZB,_,_
491017,40,6,793496,>TH,793498,NPL>TJK_W_MXCBTJK_>LJNW,_,_,_,_,_,_
491019,40,6,_,_,_,_,_,_,793501,>LJK,_,_
491024,40,7,_,_,793507,ZBX_W_MNXH,_,_,_,_,_,_
491025,40,7,_,_,793510,>ZNJM,_,_,793512,LJ,_,_
491026,40,7,_,_,793513,<WLH_W_XV>H,_,_,_,_,_,_
491029,40,8,_,_,_,_,_,_,793520,B_MGLT_SPR,793522,<LJ
491030,40,9,793524,RYWNK,_,_,_,_,_,_,_,_
491033,40,9,793528,TWRTK,_,_,_,_,_,_,_,_
491034,40,10,_,_,793531,YDQ,_,_,793532,B_QHL_RB,_,_
491035,40,10,_,_,793534,FPTJ,_,_,_,_,_,_
491037,40,10,793538,>TH,_,_,_,_,_,_,_,_
491038,40,11,_,_,793540,YDQTK,_,_,793543,B_TWK_LBJ,_,_
491039,40,11,_,_,793544,>MWNTK_W_TCW<TK,_,_,_,_,_,_
491040,40,11,_,_,793548,XSDK_W_>MTK,_,_,793549,L_QHL_RB,_,_
491041,40,12,793550,>TH,793554,RXMJK,_,_,793555,MMNJ,_,_
491043,40,12,793556,XSDK_W_>MTK,_,_,_,_,_,_,_,_
491044,40,13,793562,R<WT,_,_,_,_,793561,<LJ,_,_
491045,40,13,793565,<WNTJ,_,_,_,_,_,_,_,_
491048,40,13,_,_,_,_,_,_,793571,M_F<RWT_R>CJ,_,_
491049,40,13,793573,LBJ,_,_,_,_,_,_,_,_
491054,40,14,_,_,_,_,_,_,793579,L_<ZRTJ,_,_
491057,40,15,_,_,793586,NPCJ,_,_,_,_,_,_
491060,40,15,793592,XPYJ_R<TJ,_,_,_,_,_,_,_,_
491062,40,16,_,_,_,_,_,_,793597,LJ,_,_
491065,40,17,793603,KL,_,_,_,_,793602,BK,_,_
491068,40,17,793608,JHWH,_,_,_,_,_,_,_,_
491069,40,17,_,_,793610,TCW<TK,_,_,_,_,_,_
491070,40,18,793612,>NJ,_,_,_,_,_,_,_,_
491071,40,18,793614,>DNJ,_,_,_,_,793616,LJ,_,_
491072,40,18,793618,>TH,_,_,_,_,_,_,_,_
491078,41,2,_,_,_,_,_,_,793626,>L_DL,_,_
491079,41,2,793629,JHWH,_,_,_,_,_,_,_,_
491080,41,3,793630,JHWH,_,_,_,_,_,_,_,_
491083,41,3,_,_,_,_,_,_,793640,B_NPC_>JBJW,_,_
491084,41,4,793641,JHWH,_,_,_,_,_,_,_,_
491085,41,4,_,_,793644,KL_MCKBW,_,_,_,_,_,_
491086,41,5,793647,>NJ,_,_,_,_,_,_,_,_
491089,41,5,_,_,793652,NPCJ,_,_,_,_,_,_
491090,41,5,_,_,_,_,_,_,793655,LK,_,_
491091,41,6,793656,>WJBJ,793658,R<,_,_,793659,LJ,_,_
491093,41,6,793664,CMW,_,_,_,_,_,_,_,_
491096,41,7,793671,LBW,793669,CW>,_,_,_,_,_,_
491097,41,7,_,_,793673,>WN,_,_,793674,LW,_,_
491098,41,7,_,_,_,_,_,_,793676,L__XWY,_,_
491100,41,8,793681,KL_FN>J,_,_,_,_,793679,<LJ,_,_
491101,41,8,_,_,793684,R<H_LJ,_,_,793682,<LJ,_,_
491102,41,9,793685,DBR_BLJ<L,_,_,_,_,793687,BW,_,_
491106,41,10,793694,GM_>JC_CLWMJ,793702,<QB,_,_,793701,<LJ,_,_
491107,41,10,_,_,_,_,_,_,793697,BW,_,_
491108,41,10,_,_,793699,LXMJ,_,_,_,_,_,_
491109,41,11,793704,>TH,_,_,_,_,_,_,_,_
491112,41,11,_,_,_,_,_,_,793711,LHM,_,_
491114,41,12,_,_,_,_,_,_,793716,BJ,_,_
491115,41,12,793720,>JBJ,_,_,_,_,793721,<LJ,_,_
491117,41,13,_,_,_,_,_,_,793726,BJ,_,_
491118,41,13,_,_,_,_,_,_,793729,L_PNJK,_,_
491119,41,14,793732,JHWH_>LHJ_JFR>L,_,_,_,_,_,_,_,_
491124,42,2,_,_,_,_,_,_,793739,<L_>PJQJ_MJM,_,_
491125,42,2,793741,NPCJ,_,_,_,_,793743,>LJK,_,_
491127,42,3,793746,NPCJ,_,_,_,_,793747,L_>LHJM_L_>L_XJ,_,_
491130,42,4,793755,DM<TJ,_,_,_,_,793754,LJ,_,_
491131,42,4,_,_,_,_,_,_,793759,>LJ,_,_
491132,42,4,793762,>LHJK,_,_,_,_,_,_,_,_
491133,42,5,_,_,793763,>LH,_,_,_,_,_,_
491134,42,5,_,_,793768,NPCJ,_,_,793767,<LJ,_,_
491136,42,5,_,_,_,_,_,_,793773,<D_BJT_>LHJM,_,_
491139,42,6,_,_,_,_,_,_,793781,<LJ,_,_
491140,42,6,_,_,_,_,_,_,793783,L_>LHJM,_,_
491143,42,7,793789,NPCJ,_,_,_,_,793788,<LJ,_,_
491145,42,8,793794,THWM,_,_,_,_,793795,>L_THWM,_,_
491146,42,8,793798,KL_MCBRJK_W_GLJK,_,_,_,_,793799,<LJ,_,_
491147,42,9,793803,JHWH,793804,XSDW,_,_,_,_,_,_
491148,42,9,793807,CJRH,_,_,_,_,_,_,_,_
491149,42,9,793809,TPLH_L_>L_XJJ,_,_,_,_,_,_,_,_
491150,42,10,_,_,_,_,_,_,793811,L_>L,_,_
491154,42,11,793821,YWRRJ,_,_,_,_,_,_,_,_
491155,42,11,_,_,_,_,_,_,793823,>LJ,_,_
491156,42,11,793826,>LHJK,_,_,_,_,_,_,_,_
491159,42,12,_,_,_,_,_,_,793833,<LJ,_,_
491160,42,12,_,_,_,_,_,_,793835,L_>LHJM,_,_
491164,43,1,_,_,793843,RJBJ,_,_,793844,M_GWJ_L>_XSJD,_,_
491165,43,1,_,_,_,_,_,_,793845,M_>JC_MRMH_W_<WLH,_,_
491166,43,2,793848,>TH,_,_,_,_,_,_,_,_
491169,43,3,_,_,793857,>WRK_W_>MTK,_,_,_,_,_,_
491170,43,3,793858,HMH,_,_,_,_,_,_,_,_
491171,43,3,_,_,_,_,_,_,793861,>L_HR_QDCK_W_>L_MCKNWTJK,_,_
491172,43,4,_,_,_,_,_,_,793864,>L_MZBX_>LHJM,_,_
491173,43,4,_,_,_,_,_,_,793865,>L_>L_FMXT_GJLJ,_,_
491178,43,5,_,_,_,_,_,_,793876,<LJ,_,_
491179,43,5,_,_,_,_,_,_,793878,L_>LHJM,_,_
491185,44,2,_,_,_,_,_,_,793886,B_>ZNJNW,_,_
491186,44,2,793888,>BWTJNW,793891,P<L,_,_,793890,LNW,_,_
491188,44,3,793894,>TH,793896,GWJM,_,_,_,_,_,_
491190,44,3,_,_,793901,L>MJM,_,_,_,_,_,_
491192,44,4,_,_,793908,>RY,_,_,_,_,_,_
491193,44,4,793910,ZRW<M,_,_,_,_,793913,LMW,_,_
491194,44,4,793915,JMJNK_W_ZRW<K_W_>WR_PNJK,_,_,_,_,_,_,_,_
491196,44,5,793918,>TH,_,_,_,_,_,_,_,_
491198,44,5,_,_,793922,JCW<WT_J<QB,_,_,_,_,_,_
491199,44,6,_,_,793924,YRJNW,_,_,_,_,_,_
491202,44,7,_,_,_,_,_,_,793931,B_QCTJ,_,_
491203,44,7,793934,XRBJ,_,_,_,_,_,_,_,_
491204,44,8,_,_,_,_,_,_,793939,M_YRJNW,_,_
491205,44,8,_,_,793941,MFN>JNW,_,_,_,_,_,_
491206,44,9,_,_,_,_,_,_,793943,B_>LHJM,_,_
491207,44,9,_,_,793947,CMK,_,_,_,_,_,_
491211,44,10,_,_,_,_,_,_,793958,B_YB>WTJNW,_,_
491212,44,11,_,_,_,_,_,_,793961,MNJ_YR,_,_
491213,44,11,793963,MFN>JNW,_,_,_,_,793965,LMW,_,_
491214,44,12,_,_,_,_,_,_,793967,K_Y>N_M>KL,_,_
491215,44,12,_,_,_,_,_,_,793969,B__GWJM,_,_
491216,44,13,_,_,793972,<MK,_,_,_,_,_,_
491218,44,14,_,_,793979,XRPH,_,_,793980,L_CKNJNW,_,_
491219,44,14,_,_,793981,L<G_W_QLS,_,_,793982,L_SBJBWTJNW,_,_
491220,44,15,_,_,793984,MCL,_,_,_,_,_,_
491221,44,15,_,_,793986,MNWD_R>C,_,_,_,_,_,_
491223,44,None,793990,KLMTJ,_,_,_,_,_,_,_,_
491224,44,16,793993,BCT_PNJ,_,_,_,_,_,_,_,_
491226,44,18,793997,KL_Z>T,_,_,_,_,_,_,_,_
491228,44,18,_,_,_,_,_,_,794005,B_BRJTK,_,_
491229,44,19,794009,LBNW,_,_,_,_,_,_,_,_
491230,44,19,794012,>CRJNW,_,_,_,_,794013,MNJ_>RXK,_,_
491232,44,20,_,_,_,_,_,_,794019,<LJNW,794020,B_YLMWT
491233,44,21,_,_,794023,CM_>LHJNW,_,_,_,_,_,_
491234,44,21,_,_,794026,KPJNW,_,_,794027,L_>L_ZR,_,_
491235,44,22,794030,>LHJM,794032,Z>T,_,_,_,_,_,_
491236,44,22,794034,HW>,794036,T<LMWT_LB,_,_,_,_,_,_
491244,44,25,_,_,794052,PNJK,_,_,_,_,_,_
491245,44,25,_,_,794055,<NJNW_W_LXYNW,_,_,_,_,_,_
491246,44,26,794059,NPCNW,_,_,_,_,794058,L__<PR,_,_
491247,44,26,794062,BVNNW,_,_,_,_,794061,L__>RY,_,_
491255,45,2,794074,LBJ,794075,DBR_VWB,_,_,_,_,_,_
491256,45,2,794077,>NJ,794078,M<FJ,_,_,794079,L_MLK,_,_
491257,45,2,794080,LCWNJ,_,_,_,_,_,_,_,_
491259,45,3,794085,XN,_,_,_,_,794086,B_FPTWTJK,_,_
491260,45,3,794089,>LHJM,_,_,_,_,_,_,_,_
491261,45,4,_,_,794092,XRBK,_,_,794093,<L_JRK,_,_
491263,45,4,_,_,794095,HWDK_W_HDRK,_,_,_,_,_,_
491265,45,5,_,_,_,_,_,_,794100,<L_DBR_>MT_W_<NWH_YDQ,_,_
491266,45,5,794104,JMJNK,794103,NWR>WT,_,_,_,_,_,_
491267,45,6,794105,XYJK,_,_,_,_,_,_,_,_
491268,45,6,794107,<MJM,_,_,_,_,794108,TXTJK,_,_
491269,45,7,794111,KS>K,_,_,_,_,_,_,_,_
491271,45,7,794115,CBV_MLKWTK,_,_,_,_,_,_,_,_
491272,45,8,_,_,794117,YDQ,_,_,_,_,_,_
491273,45,8,_,_,794120,RC<,_,_,_,_,_,_
491274,45,8,794123,>LHJM_>LHJK,794124,CMN_FFWN,_,_,_,_,_,_
491275,45,9,794127,KL_BGDTJK,_,_,_,_,_,_,_,_
491277,45,10,794131,BNWT_MLKJM,_,_,_,_,_,_,_,_
491278,45,10,794134,CGL,_,_,_,_,794135,L_JMJNK,_,_
491282,45,11,_,_,794143,>ZNK,_,_,_,_,_,_
491283,45,11,_,_,794146,<MK_W_BJT_>BJK,_,_,_,_,_,_
491284,45,12,794149,H_MLK,794150,JPJK,_,_,_,_,_,_
491285,45,12,794152,HW>,_,_,_,_,_,_,_,_
491286,45,12,_,_,_,_,_,_,794156,LW,_,_
491288,45,13,794162,<CJRJ_<M,794160,PNJK,_,_,_,_,_,_
491289,45,14,794164,BT_MLK,_,_,_,_,_,_,_,_
491290,45,14,794167,LBWCH,_,_,_,_,_,_,_,_
491291,45,15,_,_,_,_,_,_,794170,L__MLK,_,_
491292,45,15,794171,BTWLWT,_,_,_,_,_,_,_,_
491293,45,15,794173,R<WTJH,_,_,_,_,794175,LK,_,_
491295,45,16,_,_,_,_,_,_,794179,B_HJKL_MLK,_,_
491296,45,17,794182,BNJK,_,_,_,_,794180,TXT_>BTJK,_,_
491297,45,17,_,_,_,_,_,_,794184,L_FRJM,_,_
491298,45,18,_,_,794187,CMK,_,_,794188,B_KL_DR_W_DR,_,_
491299,45,18,794190,<MJM,_,_,_,_,_,_,_,_
491304,46,2,794197,>LHJM,_,_,_,_,794198,LNW,_,_
491307,46,3,794208,>RY,_,_,_,_,_,_,_,_
491308,46,3,794211,HRJM,_,_,_,_,_,_,_,_
491310,46,4,794215,MJMJW,_,_,_,_,_,_,_,_
491311,46,4,794217,HRJM,_,_,_,_,_,_,_,_
491314,46,5,794221,PLGJW,794223,<JR_>LHJM_QDC_MCKNJ_<LJWN,_,_,_,_,_,_
491315,46,6,794224,>LHJM,_,_,_,_,_,_,_,_
491317,46,6,794229,>LHJM,_,_,_,_,_,_,_,_
491318,46,6,794231,BQR,_,_,_,_,_,_,_,_
491319,46,7,794233,GWJM,_,_,_,_,_,_,_,_
491320,46,7,794235,MMLKWT,_,_,_,_,_,_,_,_
491321,46,7,_,_,_,_,_,_,794237,B_QWLW,_,_
491322,46,7,794239,>RY,_,_,_,_,_,_,_,_
491323,46,8,794240,JHWH_YB>WT,_,_,_,_,_,_,_,_
491324,46,8,794244,>LHJ_J<QB,_,_,_,_,794243,LNW,_,_
491327,46,9,_,_,794248,MP<LWT_JHWH,_,_,_,_,_,_
491328,46,9,_,_,794251,CMWT,_,_,794252,B__>RY,_,_
491329,46,10,_,_,794254,MLXMWT,_,_,_,_,_,_
491330,46,10,_,_,794256,QCT,_,_,_,_,_,_
491331,46,10,_,_,794260,XNJT,_,_,_,_,_,_
491332,46,10,_,_,794261,<GLWT,_,_,794263,B__>C,_,_
491335,46,11,794268,>NKJ,_,_,_,_,_,_,_,_
491338,46,12,794274,JHWH_YB>WT,_,_,_,_,_,_,_,_
491339,46,12,794278,>LHJ_J<QB,_,_,_,_,794277,LNW,_,_
491345,47,2,_,_,794285,KP,_,_,_,_,_,_
491346,47,2,_,_,_,_,_,_,794287,L_>LHJM,_,_
491347,47,3,794290,JHWH_<LJWN,_,_,_,_,_,_,_,_
491348,47,3,_,_,_,_,_,_,794293,<L_KL_H_>RY,_,_
491349,47,4,_,_,794295,<MJM,_,_,794296,TXTJNW,_,_
491350,47,4,_,_,794298,L>MJM,_,_,794299,TXT_RGLJNW,_,_
491351,47,5,_,_,794302,>T_NXLTNW_>T_G>WN_J<QB,_,_,794301,LNW,_,_
491354,47,6,794307,>LHJM,_,_,_,_,_,_,_,_
491355,47,6,794309,JHWH,_,_,_,_,_,_,_,_
491356,47,7,_,_,794312,>LHJM,_,_,_,_,_,_
491358,47,7,_,_,_,_,_,_,794315,L_MLKNW,_,_
491360,47,8,794319,>LHJM,_,_,_,_,_,_,_,_
491361,47,8,_,_,794321,MFKJL,_,_,_,_,_,_
491362,47,9,794323,>LHJM,_,_,_,_,794324,<L_GWJM,_,_
491363,47,9,794325,>LHJM,_,_,_,_,794327,<L_KS>_QDCW,_,_
491364,47,10,794328,NDJBJ_<MJM,_,_,_,_,_,_,_,_
491365,47,10,794333,MGNJ_>RY,_,_,_,_,_,_,_,_
491370,48,2,794340,JHWH,_,_,_,_,_,_,_,_
491373,48,3,794347,HR_YJWN_JRKTJ_YPWN_QRJT_MLK_RB,_,_,_,_,_,_,_,_
491374,48,4,794348,>LHJM,_,_,_,_,794351,L_MFGB,_,_
491375,48,5,794354,H_MLKJM,_,_,_,_,_,_,_,_
491377,48,6,794358,HMH,_,_,_,_,_,_,_,_
491381,48,7,794364,R<DH,_,_,_,_,_,_,_,_
491382,48,7,794367,XJL,_,_,_,_,_,_,_,_
491383,48,8,_,_,794371,>NJWT_TRCJC,_,_,_,_,_,_
491386,48,9,794377,>LHJM,_,_,_,_,_,_,_,_
491388,48,10,_,_,794383,XSDK,_,_,_,_,_,_
491392,48,11,794388,THLTK,_,_,_,_,_,_,_,_
491393,48,11,794392,JMJNK,794390,YDQ,_,_,_,_,_,_
491394,48,12,794394,HR_YJWN,_,_,_,_,_,_,_,_
491395,48,12,794396,BNWT_JHWDH,_,_,_,_,_,_,_,_
491396,48,13,_,_,794399,YJWN,_,_,_,_,_,_
491398,48,13,_,_,794403,MGDLJH,_,_,_,_,_,_
491399,48,14,_,_,794405,LBKM,_,_,794406,L_XJLH,_,_
491400,48,14,_,_,794408,>RMNWTJH,_,_,_,_,_,_
491401,48,14,_,_,_,_,_,_,794411,L_DWR_>XRWN,_,_
491402,48,15,794413,ZH,_,_,_,_,_,_,_,_
491403,48,15,794416,HW>,_,_,_,_,_,_,_,_
491408,49,2,_,_,794423,Z>T,_,_,_,_,_,_
491415,49,4,794431,PJ,794433,XKMWT,_,_,_,_,_,_
491416,49,4,794435,HGWT_LBJ,_,_,_,_,_,_,_,_
491417,49,5,_,_,794439,>ZNJ,_,_,794438,L_MCL,_,_
491418,49,5,_,_,794442,XJDTJ,_,_,_,_,_,_
491420,49,6,794446,<WN_<QBJ,_,_,_,_,_,_,_,_
491421,49,7,_,_,_,_,_,_,794450,<L_XJLM,_,_
491422,49,7,_,_,_,_,_,_,794452,B_RB_<CRM,_,_
491423,49,8,794458,>JC,794454,>X,_,_,_,_,_,_
491424,49,8,_,_,794462,KPRW,_,_,794461,L_>LHJM,_,_
491425,49,9,794465,PDJWN_NPCM,_,_,_,_,_,_,_,_
491428,49,10,_,_,794475,H_CXT,_,_,_,_,_,_
491430,49,11,794478,XKMJM,_,_,_,_,_,_,_,_
491431,49,11,794481,KSJL_W_B<R,_,_,_,_,_,_,_,_
491432,49,11,_,_,794486,XJLM,_,_,794485,L_>XRJM,_,_
491433,49,12,794487,QRBM,_,_,_,_,_,_,_,_
491434,49,12,794488,BTJMW,_,_,_,_,_,_,_,_
491435,49,12,794490,MCKNTM,_,_,_,_,_,_,_,_
491436,49,12,_,_,_,_,_,_,794493,B_CMWTM,794494,<LJ_>DMWT
491437,49,13,794496,>DM,_,_,_,_,_,_,_,_
491440,49,14,794503,ZH,_,_,_,_,_,_,_,_
491441,49,14,794505,KSL,_,_,_,_,_,_,_,_
491442,49,14,794508,>XRJHM,_,_,_,_,794509,B_PJHM,_,_
491444,49,15,_,_,_,_,_,_,794513,L_C>WL,_,_
491445,49,15,794515,MWT,_,_,_,_,_,_,_,_
491446,49,15,794520,JCRJM,_,_,_,_,794519,BM,_,_
491447,49,15,794523,YJRM,_,_,_,_,_,_,_,_
491449,49,16,794527,>K_>LHJM,794529,NPCJ,_,_,794530,M_JD_C>WL,_,_
491453,49,17,794538,>JC,_,_,_,_,_,_,_,_
491454,49,17,794541,KBWD_BJTW,_,_,_,_,_,_,_,_
491455,49,18,_,_,794546,H_KL,_,_,_,_,_,_
491456,49,18,794550,KBWDW,_,_,_,_,_,_,_,_
